	Line	Next
65	var22.add_flatten var22.add_dense var24=var22.fit_generator	shape
66	var22.add_dense var24=var22.fit_generator shape	var22.compile
67	var24=var22.fit_generator shape var22.compile	var22.summary
69	var22.compile var22.summary var22.add_conv2d	var22.add_maxpooling2d
70	var22.summary var22.add_conv2d var22.add_maxpooling2d	var22.add_conv2d
71	var22.add_conv2d var22.add_maxpooling2d var22.add_conv2d	var22.add_maxpooling2d
72	var22.add_maxpooling2d var22.add_conv2d var22.add_maxpooling2d	var22.add_dense
73	var22.add_conv2d var22.add_maxpooling2d var22.add_dense	var22.add_flatten
74	var22.add_maxpooling2d var22.add_dense var22.add_flatten	var22.add_dense
75	var22.add_dense var22.add_flatten var22.add_dense	var24=var22.fit_generator
76	var22.add_flatten var22.add_dense var24=var22.fit_generator	var12=pandas.DataFrame
77	var16=numpy.multiply var9.append_0 var24=var22.fit_generator	var14=numpy.stack
78	numpy.save numpy.save var7.add_conv2d	var7.add_maxpooling2d
79	numpy.save var7.add_conv2d var7.add_maxpooling2d	var7.add_conv2d
80	var7.add_conv2d var7.add_maxpooling2d var7.add_conv2d	var7.add_dropout
81	var7.add_maxpooling2d var7.add_conv2d var7.add_dropout	var7.add_batchnormalization
82	var7.add_conv2d var7.add_dropout var7.add_batchnormalization	var7.add_conv2d
83	var7.add_dropout var7.add_batchnormalization var7.add_conv2d	var7.add_maxpooling2d
84	var7.add_batchnormalization var7.add_conv2d var7.add_maxpooling2d	var7.add_conv2d
86	var7.add_maxpooling2d var7.add_conv2d var7.add_dropout	var7.add_conv2d
87	var7.add_conv2d var7.add_dropout var7.add_conv2d	var7.add_flatten
88	var7.add_dropout var7.add_conv2d var7.add_flatten	var7.add_dense
89	var7.add_conv2d var7.add_flatten var7.add_dense	var7.add_dropout
90	var7.add_flatten var7.add_dense var7.add_dropout	var7.add_dense
91	var7.add_dense var7.add_dropout var7.add_dense	var7.summary
92	var7.add_dropout var7.add_dense var7.summary	var10=pandas.DataFrame
93	var10=pandas.DataFrame var10.to_csv var7=var12.make_model	var7=var12.compile
94	var10.to_csv var7=var12.make_model var7=var12.compile	var13=var12.train
98	var5.add var5.add_flatten var5.add_dense	var5.add_dropout
99	var5.add_flatten var5.add_dense var5.add_dropout	var5.add_dense
100	var5.add_dense var5.add_dropout var5.add_dense	var5.compile
101	var5.add_dropout var5.add_dense var5.compile	var6=numpy.asarray
102	var6.append_0 var7.append_1 var11.fit	var5.fit_generator
103	var7.append_1 var11.fit var5.fit_generator	var13=pandas.DataFrame
104	var13.load	var13.thumbnail
105	var13.load var13.thumbnail	var14=numpy.asarray
106	var13.load var13.thumbnail var14=numpy.asarray	var16=pandas.read_csv
107	var13.thumbnail var14=numpy.asarray var16=pandas.read_csv	var17=pandas.read_csv
108	var14=numpy.asarray var16=pandas.read_csv var17=pandas.read_csv	var18=numpy.load
109	var16=pandas.read_csv var17=pandas.read_csv var18=numpy.load	var19=numpy.load
110	var17=pandas.read_csv var18=numpy.load var19=numpy.load	var20=numpy.load
111	var18=numpy.load var19=numpy.load var20=numpy.load	var18=pandas.read_csv
112	var19=numpy.load var20=numpy.load var18=pandas.read_csv	var18=var18.drop
113	var20=numpy.load var18=pandas.read_csv var18=var18.drop	var18=var18.drop
114	var18=pandas.read_csv var18=var18.drop var18=var18.drop	var19=pandas.read_csv
115	var18=var18.drop var18=var18.drop var19=pandas.read_csv	var20=pandas.read_csv
116	var18=var18.drop var19=pandas.read_csv var20=pandas.read_csv	var20=var20.drop
117	var19=pandas.read_csv var20=pandas.read_csv var20=var20.drop	var21=pandas.read_csv
118	var20=pandas.read_csv var20=var20.drop var21=pandas.read_csv	var22=pandas.DataFrame
119	var20=var20.drop var21=pandas.read_csv var22=pandas.DataFrame	var22.to_csv
120	var21=pandas.read_csv var22=pandas.DataFrame var22.to_csv	var23=numpy.reshape
121	var22=pandas.DataFrame var22.to_csv var23=numpy.reshape	var24=numpy.reshape
122	var22.to_csv var23=numpy.reshape var24=numpy.reshape	var25=numpy.reshape
123	var23=numpy.reshape var24=numpy.reshape var25=numpy.reshape	var26.add_conv2d
124	var24=numpy.reshape var25=numpy.reshape var26.add_conv2d	var26.add_batchnormalization
125	var25=numpy.reshape var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
126	var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
127	var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
129	var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_maxpooling2d
130	var26.add_conv2d var26.add_batchnormalization var26.add_maxpooling2d	var26.add_conv2d
131	var26.add_batchnormalization var26.add_maxpooling2d var26.add_conv2d	var26.add_batchnormalization
132	var26.add_maxpooling2d var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
144	var26.add_conv2d var26.add_batchnormalization var26.add_maxpooling2d	var26.add_flatten
145	var26.add_batchnormalization var26.add_maxpooling2d var26.add_flatten	var26.add_dense
146	var26.add_maxpooling2d var26.add_flatten var26.add_dense	var26.add_dense
147	var26.add_flatten var26.add_dense var26.add_dense	var26.compile
148	var26.add_dense var26.add_dense var26.compile	var28=var26.fit
149	var26.add_dense var26.compile var28=var26.fit	var29=var26.predict
150	var26.compile var28=var26.fit var29=var26.predict	matplotlib.pyplot.plot
151	var28=var26.fit var29=var26.predict matplotlib.pyplot.plot	matplotlib.pyplot.plot
152	var29=var26.predict matplotlib.pyplot.plot matplotlib.pyplot.plot	matplotlib.pyplot.title
153	matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.title	matplotlib.pyplot.ylabel
154	matplotlib.pyplot.plot matplotlib.pyplot.title matplotlib.pyplot.ylabel	matplotlib.pyplot.xlabel
155	matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel	matplotlib.pyplot.legend
156	matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.legend	matplotlib.pyplot.show
157	matplotlib.pyplot.xlabel matplotlib.pyplot.legend matplotlib.pyplot.show	var30.writerow
158	matplotlib.pyplot.legend matplotlib.pyplot.show var30.writerow	var30.writerow
159	matplotlib.pyplot.show var30.writerow var30.writerow	numpy.save
160	var30.writerow var30.writerow numpy.save	numpy.save
161	var30.writerow numpy.save numpy.save	numpy.save
162	numpy.save numpy.save numpy.save	var22.append_0
163	numpy.save numpy.save var22.append_0	var22.append_1
164	numpy.save var22.append_0 var22.append_1	var22.append_2
165	var22.append_0 var22.append_1 var22.append_2	var34=var34.flatten
166	var22.append_1 var22.append_2 var34=var34.flatten	var30.writerow
167	var22.append_2 var34=var34.flatten var30.writerow	var34=var34.flatten
168	var34=var34.flatten var30.writerow var34=var34.flatten	var32.append_3
169	var30.writerow var34=var34.flatten var32.append_3	var30.writerow
170	var34=var34.flatten var32.append_3 var30.writerow	var32.append_4
171	var32.append_3 var30.writerow var32.append_4	var32.append_5
172	var2=pandas.read_csv var5.lr_find var5.fit	var5.unfreeze
173	var5.unfreeze var5.lr_find var5.fit	var7.plot_top_losses
174	var3.head var4.head var9.fit_one_cycle	var9.unfreeze
175	var4.head var9.fit_one_cycle var9.unfreeze	var9.fit_one_cycle
176	var9.fit_one_cycle var9.unfreeze var9.fit_one_cycle	var9.fit_one_cycle
177	var9.unfreeze var9.fit_one_cycle var9.fit_one_cycle	var8.append_0
178	var9.fit_one_cycle var9.fit_one_cycle var8.append_0	var4.to_csv
179	var4.show_batch var6=var5.lr_find var5.fit_one_cycle	var5.save
180	var5.unfreeze var6=var5.lr_find var5.fit_one_cycle	var5.save
181	var11.unfreeze var11.lr_find var11.fit_one_cycle	var11.load
185	var33.kek_one_cycle var33.plot_kek var33.kek_one_cycle	var33.plot_kek
186	var33.plot_kek var33.kek_one_cycle var33.plot_kek	var32=var33.predict_loader
187	matplotlib.pyplot.subplot matplotlib.pyplot.imshow var13=var12.flow	var14=var12.flow
188	matplotlib.pyplot.imshow var13=var12.flow var14=var12.flow	var17.compile
189	var13=var12.flow var14=var12.flow var17.compile	matplotlib.pyplot.figure
190	var2=var2.astype var3=var3.astype var5.add	var5.add_flatten
191	var3=var3.astype var5.add var5.add_flatten	var5.add_dense
192	var5.add var5.add_flatten var5.add_dense	var5.add_batchnormalization
193	var5.add_flatten var5.add_dense var5.add_batchnormalization	var5.add_activation
194	var5.add_dense var5.add_batchnormalization var5.add_activation	var5.add_dropout
195	var5.add_batchnormalization var5.add_activation var5.add_dropout	var5.add_dense
196	var5.add_activation var5.add_dropout var5.add_dense	var5.summary
197	var5.add_dropout var5.add_dense var5.summary	var5.compile
198	var5.add_dense var5.summary var5.compile	var13.fit
199	var5.summary var5.compile var13.fit	var14=var5.fit_generator
200	var5.compile var13.fit var14=var5.fit_generator	var15=var5.predict
201	var2=var0.flow_from_dataframe var3=pandas.read_csv var4.add_conv2d	var4.add_batchnormalization
202	var3=pandas.read_csv var4.add_conv2d var4.add_batchnormalization	var4.add_activation
203	var4.add_conv2d var4.add_batchnormalization var4.add_activation	var4.add_conv2d
204	var4.add_batchnormalization var4.add_activation var4.add_conv2d	var4.add_batchnormalization
205	var4.add_activation var4.add_conv2d var4.add_batchnormalization	var4.add_activation
209	var4.add_conv2d var4.add_batchnormalization var4.add_activation	var4.add_maxpool2d
210	var4.add_batchnormalization var4.add_activation var4.add_maxpool2d	var4.add_conv2d
211	var4.add_activation var4.add_maxpool2d var4.add_conv2d	var4.add_batchnormalization
212	var4.add_maxpool2d var4.add_conv2d var4.add_batchnormalization	var4.add_activation
230	var4.add_batchnormalization var4.add_activation var4.add_maxpool2d	var4.add_globalaveragepooling2d
231	var4.add_activation var4.add_maxpool2d var4.add_globalaveragepooling2d	var4.add_dense
232	var4.add_maxpool2d var4.add_globalaveragepooling2d var4.add_dense	var4.compile
233	var2=var2.astype var3=var3.astype var11.summary	var11.compile
234	var3=var3.astype var11.summary var11.compile	var19.fit
235	var11.summary var11.compile var19.fit	var20=var11.fit_generator
236	var11.compile var19.fit var20=var11.fit_generator	var21=var11.predict
237	var1=pandas.read_csv var2=pandas.read_csv var6.fit_one_cycle	var2.to_csv
238	var2=pandas.read_csv var2.tail var8.compile	var13.compile
239	var2.tail var8.compile var13.compile	var14.add_dense
240	var8.compile var13.compile var14.add_dense	var14.add_leakyrelu
241	var13.compile var14.add_dense var14.add_leakyrelu	var14.add_dense
242	var14.add_dense var14.add_leakyrelu var14.add_dense	var14.add_reshape
243	var14.add_leakyrelu var14.add_dense var14.add_reshape	var14.add_flatten
244	var14.add_dense var14.add_reshape var14.add_flatten	var14.add_dense
245	var14.add_reshape var14.add_flatten var14.add_dense	var14.add_leakyrelu
246	var14.add_flatten var14.add_dense var14.add_leakyrelu	var14.add_dense
247	var14.add_dense var14.add_leakyrelu var14.add_dense	matplotlib.pyplot.imshow
278	shape var24._set_index_array var36.compile	var36.summary
279	var24._set_index_array var36.compile var36.summary	var36.fit_generator
280	var36.compile var36.summary var36.fit_generator	var36.load_weights
281	var25=numpy.zeros var21.append_3 var58.summary	var58.compile
282	var21.append_3 var58.summary var58.compile	var59=var58.fit_generator
283	var58.summary var58.compile var59=var58.fit_generator	var63.append_0
287	var56.load_weights import_warnings var56.train	history
288	import_warnings var56.train history	var56.train
289	var56.train history pandas.DataFrame	matplotlib.pyplot.figure
290	import_errno var65.append_0 var56=mrcnn.model.MaskRCNN	var56.load_weights
291	var65.append_0 var56=mrcnn.model.MaskRCNN var56.load_weights	var71.append_0
292	var18=torch.nn.Sequential var19.append_1 var22.load_state_dict	var22.load_state_dict
293	var19.append_1 var22.load_state_dict var22.load_state_dict	var22=var22.eval
294	var22.load_state_dict var22.load_state_dict var22=var22.eval	var26=numpy.reshape
295	var0=var39.get var32.extend var22=var22.to	encoder
296	encoder encoder var22.load_state_dict	var22=var22.eval
297	encoder var22.load_state_dict var22=var22.eval	var0=numpy.array
298	var32=pandas.merge var38=numpy.expand_dims var42.pop	var46=var43.flow
299	var38=numpy.expand_dims var42.pop var46=var43.flow	var47=var44.flow
300	var42.pop var46=var43.flow var47=var44.flow	var71.summary
301	var46=var43.flow var47=var44.flow var71.summary	import_keras.backend
302	var47=var44.flow var71.summary import_keras.backend	var71.compile
303	var71.summary import_keras.backend var71.compile	var73=keras.backend.sum
304	import_keras.backend var71.compile var73=keras.backend.sum	var83=numpy.cumsum
305	var71.save var85=var71.predict var86.add	var86.add
306	var85=var71.predict var86.add var86.add	var86.add
307	var86.add var86.add var86.add	var91=numpy.array
308	var33=pandas.merge var39=numpy.expand_dims var43.pop	var47=var44.flow
309	var39=numpy.expand_dims var43.pop var47=var44.flow	var48=var45.flow
310	var43.pop var47=var44.flow var48=var45.flow	var72.summary
311	var47=var44.flow var48=var45.flow var72.summary	import_keras.backend
312	import_keras.backend var74=keras.backend.sum var72.compile	var84=numpy.concatenate
313	var72.save var86=var72.predict var87.add	var87.add
314	var86=var72.predict var87.add var87.add	var87.add
315	var87.add var87.add var87.add	var92=numpy.array
324	var20=pandas.merge var21=pandas.merge var36=var32.flow	var37=var33.flow
325	var21=pandas.merge var36=var32.flow var37=var33.flow	var38.compile
326	var36=var32.flow var37=var33.flow var38.compile	var38.summary
327	var37=var33.flow var38.compile var38.summary	var38.load_weights
328	var38.compile var38.summary var38.load_weights	var38.fit_generator
329	var38.summary var38.load_weights var38.fit_generator	var74=var38.predict
330	var19=pandas.merge var18.head var38.pop	var42=var39.flow
331	var18.head var38.pop var42=var39.flow	var43=var40.flow
332	var38.pop var42=var39.flow var43=var40.flow	var67.summary
333	var42=var39.flow var43=var40.flow var67.summary	import_keras.backend
334	var67.save var81=var67.predict var82.add	var82.add
335	var81=var67.predict var82.add var82.add	var82.add
336	var82.add var82.add var82.add	var86=var82.predict
337	var15=numpy.zeros numpy.unique var26=var24.flow	var27=var25.flow
338	numpy.unique var26=var24.flow var27=var25.flow	var43=keras.backend.sum
339	var27=var25.flow var43=keras.backend.sum var42.compile	var42.summary
340	var43=keras.backend.sum var42.compile var42.summary	var42.load_weights
341	var42.compile var42.summary var42.load_weights	var42.save
342	var42.summary var42.load_weights var42.save	var51=numpy.concatenate
343	var54=numpy.concatenate var55=numpy.concatenate var58.summary	var60=pandas.DataFrame
344	var2.append_4 matplotlib.pyplot.imshow var16=var15.generator	var16.summary
345	matplotlib.pyplot.imshow var16=var15.generator var16.summary	var20.compile
346	var16=var15.generator var16.summary var20.compile	var22=var16.predict
347	var27=pandas.merge var28=pandas.merge var39.pop	var43=var40.flow
348	var28=pandas.merge var39.pop var43=var40.flow	var44=var41.flow
349	var39.pop var43=var40.flow var44=var41.flow	var68.summary
350	var43=var40.flow var44=var41.flow var68.summary	import_keras.backend
351	var68.save var82=var68.predict var83.add	var83.add
352	var82=var68.predict var83.add var83.add	var83.add
353	var83.add var83.add var83.add	var87=var83.predict
354	var25=torch.nn.functional.relu var28.append_0 var44=torchvision.transforms.Compose	var45=torchvision.transforms.Compose
355	var28.append_0 var44=torchvision.transforms.Compose var45=torchvision.transforms.Compose	var46=torchvision.transforms.Compose
356	var44=torchvision.transforms.Compose var45=torchvision.transforms.Compose var46=torchvision.transforms.Compose	var49.train
357	var45=torchvision.transforms.Compose var46=torchvision.transforms.Compose var49.train	var49.eval
358	var46=torchvision.transforms.Compose var49.train var49.eval	var51=torch.nn.functional.cross_entropy
359	var49.train var49.eval var51=torch.nn.functional.cross_entropy	var50.zero_grad
360	var49.eval var51=torch.nn.functional.cross_entropy var50.zero_grad	var51.backward
361	var51=torch.nn.functional.cross_entropy var50.zero_grad var51.backward	var50.step
362	var50.zero_grad var51.backward var50.step	var53.append_0
363	var51.backward var50.step var53.append_0	var54.append_1
364	var50.step var53.append_0 var54.append_1	var49.eval
365	var53.append_0 var54.append_1 var49.eval	var49.train
366	var54.append_1 var49.eval var49.train	var55.append_2
367	var49.eval var49.train var55.append_2	matplotlib.pyplot.plot
368	shape var8._set_index_array var11.add_convolution2d	var11.add_maxpooling2d
369	var8._set_index_array var11.add_convolution2d var11.add_maxpooling2d	var11.add_convolution2d
370	var11.add_convolution2d var11.add_maxpooling2d var11.add_convolution2d	var11.add_maxpooling2d
371	var11.add_maxpooling2d var11.add_convolution2d var11.add_maxpooling2d	var11.add_convolution2d
373	var11.add_maxpooling2d var11.add_convolution2d var11.add_maxpooling2d	var11.add_flatten
374	var11.add_convolution2d var11.add_maxpooling2d var11.add_flatten	var11.add_dense
375	var11.add_maxpooling2d var11.add_flatten var11.add_dense	var11.add_dense
376	var11.add_flatten var11.add_dense var11.add_dense	var11.compile
377	var11.add_dense var11.add_dense var11.compile	var11.summary
378	var11.add_dense var11.compile var11.summary	var12=var11.fit_generator
379	var11.compile var11.summary var12=var11.fit_generator	import_matplotlib.pyplot
380	var36=pandas.merge var37=pandas.merge var47.pop	var51=var48.flow
381	var37=pandas.merge var47.pop var51=var48.flow	var52=var49.flow
382	var47.pop var51=var48.flow var52=var49.flow	var77.summary
383	var51=var48.flow var52=var49.flow var77.summary	import_keras.backend
384	var27=pandas.merge var28=pandas.merge var43=var40.flow	var44=var41.flow
385	var28=pandas.merge var43=var40.flow var44=var41.flow	var71.summary
386	var43=var40.flow var44=var41.flow var71.summary	import_keras.backend
389	var86.add var86.add var86.add	var90=var86.predict
390	var8.remove var17.lr_find var17.fit	var17.unfreeze
391	var17.lr_find var17.fit var17.unfreeze	var18=numpy.array
392	var17.fit var17.unfreeze var18=numpy.array	var17.fit
393	var17.unfreeze var18=numpy.array var17.fit	var17.save
394	var38=var36.view var50.freeze_to var50.fit	var50.save
395	var50.fit var50.save var53=numpy.array	var50.unfreeze
396	var50.save var53=numpy.array var50.unfreeze	var50.bn_freeze
397	var53=numpy.array var50.unfreeze var50.bn_freeze	var50.fit
398	var50.unfreeze var50.bn_freeze var50.fit	var50.fit
399	var50.bn_freeze var50.fit var50.fit	var50.save
400	var50.unfreeze var50.bn_freeze var50.fit	var50.save
409	matplotlib.pyplot.show matplotlib.pyplot.show var22=keras.add	var26.compile
410	matplotlib.pyplot.show var22=keras.add var26.compile	var26.summary
411	var22=keras.add var26.compile var26.summary	shape
412	var26.compile var26.summary shape	var33=var26.fit
413	var26.summary shape var33=var26.fit	var23.append_0
414	shape var33=var26.fit var23.append_0	var23.append_1
415	var33=var26.fit var23.append_0 var23.append_1	var34=keras.l2
416	var23.append_0 var23.append_1 var34=keras.l2	var34=keras.l2
417	var23.append_1 var34=keras.l2 var34=keras.l2	var34=keras.l2
418	var34=keras.l2 var34=keras.l2 var34=keras.l2	var34=keras.l2
419	var34=keras.l2 var34=keras.l2 var34=keras.l2	var34=keras.l1
420	var34=keras.l2 var34=keras.l2 var34=keras.l1	var34=keras.l1
421	var34=keras.l2 var34=keras.l1 var34=keras.l1	var34=keras.l1
422	var34=keras.l1 var34=keras.l1 var34=keras.l1	var34=keras.l1
426	var0=var0.set_index var4=numpy.zeros var5.summary	matplotlib.pyplot.figure
427	import_skimage import_tqdm var5.display	image_info
428	var20=var40.load_image var20=var40.load_image var44=mrcnn.model.MaskRCNN	var44.load_weights
429	var20=var40.load_image var44=mrcnn.model.MaskRCNN var44.load_weights	var44.load_weights
430	var44=mrcnn.model.MaskRCNN var44.load_weights var44.load_weights	var44.load_weights
431	var44.load_weights var44.load_weights var44.load_weights	var44.train
432	var44.load_weights var44.load_weights var44.train	var44.train
433	var44.load_weights var44.train var44.train	var44=mrcnn.model.MaskRCNN
434	var44.train var44.train var44=mrcnn.model.MaskRCNN	var47=var44.find_last
435	var44.train var44=mrcnn.model.MaskRCNN var47=var44.find_last	var44.load_weights
436	var44=mrcnn.model.MaskRCNN var47=var44.find_last var44.load_weights	var49=var44.detect
437	var5=numpy.zeros var6=var6.astype var9=tensorflow.reshape	var14=tensorflow.reshape
438	var6=var6.astype var9=tensorflow.reshape var14=tensorflow.reshape	var22=var21.minimize
439	var9=tensorflow.reshape var14=tensorflow.reshape var22=var21.minimize	var23=pandas.read_csv
440	var13=var9.reshape var14.fit import_numpy	import_pandas
441	var14.fit import_numpy import_pandas	var20=numpy.linspace
442	import_numpy import_pandas var20=numpy.linspace	validation_data
443	import_pandas var20=numpy.linspace validation_data	var36=numpy.mean
444	var20=numpy.linspace validation_data var36=numpy.mean	var40.compile
445	validation_data var36=numpy.mean var40.compile	var40.summary
446	var36=numpy.mean var40.compile var40.summary	var44=var40.fit_generator
447	var40.compile var40.summary var44=var40.fit_generator	var45=var1.sample
448	var9=keras.preprocessing.load_img var10=keras.preprocessing.img_to_array import_numpy	import_pandas
449	var10=keras.preprocessing.img_to_array import_numpy import_pandas	var18=numpy.linspace
450	import_numpy import_pandas var18=numpy.linspace	validation_data
451	import_pandas var18=numpy.linspace validation_data	var34=numpy.mean
452	var18=numpy.linspace validation_data var34=numpy.mean	var35.add_conv2d
453	validation_data var34=numpy.mean var35.add_conv2d	var35.add_maxpooling2d
454	var34=numpy.mean var35.add_conv2d var35.add_maxpooling2d	var35.add_conv2d
455	var35.add_conv2d var35.add_maxpooling2d var35.add_conv2d	var35.add_maxpooling2d
456	var35.add_maxpooling2d var35.add_conv2d var35.add_maxpooling2d	var35.add_conv2d
458	var35.add_maxpooling2d var35.add_conv2d var35.add_maxpooling2d	var35.add_dropout
459	var35.add_conv2d var35.add_maxpooling2d var35.add_dropout	var35.add_flatten
460	var35.add_maxpooling2d var35.add_dropout var35.add_flatten	var35.add_dense
461	var35.add_dropout var35.add_flatten var35.add_dense	var35.add_dropout
462	var35.add_flatten var35.add_dense var35.add_dropout	var35.add_dense
463	var35.add_dense var35.add_dropout var35.add_dense	var35.summary
464	var35.add_dropout var35.add_dense var35.summary	var35.compile
465	var35.add_dense var35.summary var35.compile	var38=var35.fit
466	var16.append_0 var17.append_1 var42.summary	var47=tensorflow.to_int32
467	var46.append_0 var48=tensorflow.identity var42.compile	var50=var42.fit_generator
468	var48=tensorflow.identity var42.compile var50=var42.fit_generator	matplotlib.pyplot.plot
469	var10=numpy.zeros var11=numpy.zeros var30.compile	var30.summary
470	var11=numpy.zeros var30.compile var30.summary	var31=var30.fit_generator
473	var43.pop var47=var44.flow var48=var45.flow	shape
474	var48=var45.flow shape var55=keras.MobileNet	var56.add_flatten
475	shape var55=keras.MobileNet var56.add_flatten	var56.add_dense
476	var55=keras.MobileNet var56.add_flatten var56.add_dense	var56.add_dropout
477	var56.add_flatten var56.add_dense var56.add_dropout	var56.add_dense
478	var56.add_dense var56.add_dropout var56.add_dense	var56.add_dropout
479	var56.add_dropout var56.add_dense var56.add_dropout	var56.add_dense
480	var56.add_dense var56.add_dropout var56.add_dense	var57.summary
481	var56.add_dropout var56.add_dense var57.summary	import_keras.backend
482	import_keras.backend var58=keras.backend.sum var57.compile	var57.load_weights
483	var57.save var68=var57.predict var69.add	var69.add
484	var68=var57.predict var69.add var69.add	var69.add
485	var69.add var69.add var69.add	var74=numpy.array
486	shape var25._set_index_array var37.compile	var37.summary
487	var25._set_index_array var37.compile var37.summary	var37.fit_generator
488	var37.compile var37.summary var37.fit_generator	var37.load_weights
489	var12=var8.reshape var13.fit var22=keras.SGD	var18.compile
490	var13.fit var22=keras.SGD var18.compile	var18.summary
491	var22=keras.SGD var18.compile var18.summary	var18.fit_generator
492	var18.compile var18.summary var18.fit_generator	var18.save
493	var18.summary var18.fit_generator var18.save	var23=var1.sample
