	Line	Next
212	var1=var1.drop var14=pandas.DataFrame var15=pandas.DataFrame	var14.head
213	import_xgboost	import_time
214	import_xgboost import_time	import_numpy
215	import_xgboost import_time import_numpy	import_pandas
216	import_time import_numpy import_pandas	import_matplotlib.pyplot
217	import_numpy import_pandas import_matplotlib.pyplot	var0=pandas.read_csv
218	var3=seaborn.FacetGrid var3=var3.map var3=seaborn.FacetGrid	var3=var3.map
219	var3=var3.map var3=seaborn.FacetGrid var3=var3.map	var3=var3.add_legend
220	var3=seaborn.FacetGrid var3=var3.map var3=var3.add_legend	var3=seaborn.FacetGrid
239	var15.remove var15.remove var19=pandas.DataFrame	var25=lightgbm.LGBMClassifier
240	seaborn.set_style	pandas.set_option
241	seaborn.set_style pandas.set_option	var0=pandas.read_csv
242	var13=pandas.DataFrame var13.head import_tensorflow	var14.append_0
243	var4=pandas.concat var2=pandas.DataFrame import_seaborn	seaborn.pairplot
244	var3.replace var3.replace import_gc	var11=numpy.zeros
245	import_matplotlib.pyplot	import_pandas
246	import_matplotlib.pyplot import_pandas	var0=pandas.read_csv
248	import_pandas import_numpy	import_time
249	import_pandas import_numpy import_time	var1=pandas.read_csv
250	var1.sort	var2=numpy.uint8
253	import_numpy import_pandas import_matplotlib.pyplot	import_tensorflow
254	import_pandas import_matplotlib.pyplot import_tensorflow	import_multiprocessing
255	import_matplotlib.pyplot import_tensorflow import_multiprocessing	import_os
256	import_tensorflow import_multiprocessing import_os	import_cv2
257	import_multiprocessing import_os import_cv2	import_time
258	import_os import_cv2 import_time	var7.append_0
259	import_numpy	import_skimage.transform
260	import_numpy import_skimage.transform	import_matplotlib.pyplot
261	import_numpy import_skimage.transform import_matplotlib.pyplot	import_matplotlib
262	import_skimage.transform import_matplotlib.pyplot import_matplotlib	import_os
263	import_matplotlib.pyplot import_matplotlib import_os	import_matplotlib.pyplot
264	import_matplotlib import_os import_matplotlib.pyplot	import_numpy
265	import_os import_matplotlib.pyplot import_numpy	import_pandas
266	import_matplotlib.pyplot import_numpy import_pandas	var1=pandas.DataFrame
268	import_tensorflow	import_glob
269	import_tensorflow import_glob	import_os
270	import_tensorflow import_glob import_os	import_cv2
271	import_glob import_os import_cv2	var4=tensorflow.convert_to_tensor
272	import_os	import_matplotlib.pylab
273	import_os import_matplotlib.pylab	import_numpy
274	import_cv2	var10=pandas.read_csv
277	import_io	import_bson
278	import_io import_bson	import_matplotlib.pyplot
279	import_io import_bson import_matplotlib.pyplot	import_multiprocessing
280	import_bson import_matplotlib.pyplot import_multiprocessing	var1.rename
281	var4=numpy.zeros	var6=pandas.DataFrame
282	var4=numpy.zeros var6=pandas.DataFrame	var8=pandas.read_csv
283	var1.append_1 var2.append_2 import_io	import_bson
284	var2.append_2 import_io import_bson	import_matplotlib
285	import_io import_bson import_matplotlib	import_matplotlib.pyplot
286	import_bson import_matplotlib import_matplotlib.pyplot	import_multiprocessing
287	import_matplotlib import_matplotlib.pyplot import_multiprocessing	import_numpy
288	import_matplotlib.pyplot import_multiprocessing import_numpy	import_pandas
289	import_multiprocessing import_numpy import_pandas	var10.rename
290	var14=numpy.asarray var15=numpy.asarray var15=keras.utils.to_categorical	import_tensorflow
301	import_bson import_matplotlib.pyplot import_multiprocessing	var1=multiprocessing.Pool
302	import_matplotlib.pyplot import_multiprocessing var1=multiprocessing.Pool	var5=numpy.array
303	var6=numpy.zeros	var10=pandas.read_csv
308	import_bson import_matplotlib.pyplot import_multiprocessing	import_numpy
309	import_matplotlib.pyplot import_multiprocessing import_numpy	import_scipy
310	import_multiprocessing import_numpy import_scipy	import_time
311	import_numpy import_scipy import_time	var12.compile
317	import_numpy import_pandas	import_bson
318	import_numpy import_pandas import_bson	import_io
319	import_pandas import_bson import_io	import_matplotlib.pyplot
320	import_bson import_io import_matplotlib.pyplot	var4=numpy.zeros
326	import_bson	import_cv2
327	import_bson import_cv2	import_struct
328	import_bson import_cv2 import_struct	var2.sort_index
329	var2.rename var2.head import_multiprocessing	var7=multiprocessing.Manager
330	var7=multiprocessing.Manager var2=var7.dict var9=multiprocessing.Queue	var10=multiprocessing.Lock
331	var2=var7.dict var9=multiprocessing.Queue var10=multiprocessing.Lock	var11=multiprocessing.Pool
332	var9=multiprocessing.Queue var10=multiprocessing.Lock var11=multiprocessing.Pool	var11.close
333	var10=multiprocessing.Lock var11=multiprocessing.Pool var11.close	var11.join
334	var11=multiprocessing.Pool var11.close var11.join	var9.put
335	var11.close var11.join var9.put	var9.put
336	var2.append_1 var3.append_2 var7=pandas.DataFrame	var8=numpy.arange
343	import_multiprocessing import_numpy import_pandas	var6.append_0
344	var2.append_2 numpy.fromstring import_io	import_bson
345	numpy.fromstring import_io import_bson	import_matplotlib
351	var6.close var7=var6.create_dataset var6=pandas.HDFStore	var6.close
352	var7=var6.create_dataset var6=pandas.HDFStore var6.close	var1.info
353	var30=var29.count var29.get_group import_seaborn	matplotlib.pyplot.figure
354	var22.fit var22.fit import_pydot	var23.fit
356	import_matplotlib.pyplot import_seaborn	import_cufflinks
357	import_matplotlib.pyplot import_seaborn import_cufflinks	var0=pandas.read_csv
359	import_numpy import_pandas	import_os
360	import_numpy import_pandas import_os	import_matplotlib.pyplot
361	import_pandas import_os import_matplotlib.pyplot	import_xgboost
362	import_os import_matplotlib.pyplot import_xgboost	import_time
363	import_matplotlib.pyplot import_xgboost import_time	import_datetime
364	import_xgboost import_time import_datetime	var0=pandas.read_csv
366	import_numpy import_pandas	import_random
367	import_numpy import_pandas import_random	import_datetime
368	import_pandas import_random import_datetime	import_matplotlib.pyplot
369	import_random import_datetime import_matplotlib.pyplot	import_seaborn
370	import_datetime import_matplotlib.pyplot import_seaborn	import_statsmodels.formula.api
371	import_matplotlib.pyplot import_seaborn import_statsmodels.formula.api	import_statsmodels.tsa.api
372	import_seaborn import_statsmodels.formula.api import_statsmodels.tsa.api	import_statsmodels.api
373	import_statsmodels.formula.api import_statsmodels.tsa.api import_statsmodels.api	import_scipy.stats
374	import_statsmodels.tsa.api import_statsmodels.api import_scipy.stats	import_os
375	import_statsmodels.api import_scipy.stats import_os	var0=pandas.read_csv
377	import_pandas import_numpy	import_matplotlib.pyplot
378	import_pandas import_numpy import_matplotlib.pyplot	import_seaborn
379	import_numpy import_matplotlib.pyplot import_seaborn	var1=pandas.read_csv
380	var5=pandas.read_csv item_category_id var8=pandas.DataFrame	var9.rename
383	import_numpy import_pandas import_matplotlib.pyplot	var2=pandas.read_csv
384	matplotlib.pyplot.plot matplotlib.pyplot.plot var14=var1.copy	var18=var17.transform
385	var0=pandas.read_csv import_datetime	var0.info
386	var0=pandas.read_csv import_datetime var0.info	var0.head
387	var0.info var0.head import_seaborn	import_matplotlib.pyplot
388	var0.head import_seaborn import_matplotlib.pyplot	iloc
389	import_os	import_math
390	import_os import_math	import_time
391	import_os import_math import_time	import_numpy
392	import_math import_time import_numpy	import_pandas
393	import_time import_numpy import_pandas	import_random
401	import_statsmodels.tsa.api import_statsmodels.api import_scipy.stats	import_datetime
402	import_statsmodels.api import_scipy.stats import_datetime	import_matplotlib.pyplot
403	import_scipy.stats import_datetime import_matplotlib.pyplot	import_warnings
404	import_datetime import_matplotlib.pyplot import_warnings	var0=pandas.read_csv
405	var0.info var0.describe import_matplotlib.pyplot	matplotlib.pyplot.boxplot
408	import_tensorflow	import_numpy
409	import_tensorflow import_numpy	import_matplotlib.pyplot
410	import_tensorflow import_numpy import_matplotlib.pyplot	shape
414	var3=pandas.read_csv var4=pandas.read_csv import_matplotlib	var6=pandas.DataFrame
415	var12=pandas.merge var10=var10.drop var10=numpy.array	var12=numpy.array
416	var26=var26.rename var13.to_pickle import_pandas	import_numpy
417	var13.to_pickle import_pandas import_numpy	import_os
418	import_pandas import_numpy import_os	import_gc
419	import_numpy import_os import_gc	import_xgboost
420	import_os import_gc import_xgboost	import_scipy.stats
421	import_gc import_xgboost import_scipy.stats	import_seaborn
422	import_xgboost import_scipy.stats import_seaborn	import_matplotlib.pyplot
423	import_scipy.stats import_seaborn import_matplotlib.pyplot	import_pickle
424	import_seaborn import_matplotlib.pyplot import_pickle	var13=pandas.read_pickle
425	var35=xgboost.train xgboost.plot_importance import_xgboost	import_pandas
426	xgboost.plot_importance import_xgboost import_pandas	import_numpy
427	import_xgboost import_pandas import_numpy	import_gc
428	import_pandas import_numpy import_gc	var13=pandas.read_pickle
429	var6=pandas.merge var7=pandas.pivot_table import_seaborn	var8=var7.sum
430	var7=pandas.pivot_table import_seaborn var8=var7.sum	seaborn.regplot
431	import_seaborn var8=var7.sum seaborn.regplot	var9=var7.sum
432	var8=var7.sum seaborn.regplot var9=var7.sum	var12=pandas.pivot_table
433	var33=var33.rename var33=var33.rename var2=pandas.merge	var2=pandas.merge
434	var33=var33.rename var2=pandas.merge var2=pandas.merge	var2=pandas.merge
435	var2=pandas.merge var2=pandas.merge var2=pandas.merge	loc
436	var56=pandas.DataFrame var61=var60.fit_transform var61=pandas.DataFrame	var61.rename
437	var7.fit var9=var7.predict var10=pandas.DataFrame	var11=pandas.DataFrame
438	var3.fit var8=var3.predict import_csv	var11.writerow
440	iloc iloc import_numpy	var15.fit
441	var3=var3.drop var6.append_0 import_matplotlib.pyplot	pandas.crosstab
442	var0=var0.drop var6.append_0 import_matplotlib.pyplot	import_seaborn
443	var6.append_0 import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.hist
445	import_numpy var2=numpy.sort import_matplotlib.pyplot	import_seaborn
446	var2=numpy.sort import_matplotlib.pyplot import_seaborn	seaborn.set
447	import_matplotlib.pyplot import_seaborn seaborn.set	matplotlib.pyplot.figure
449	var14=numpy.concatenate var46=numpy.concatenate import_pickle	var47.close
450	var46=numpy.concatenate import_pickle var47.close	import_pickle
451	import_pickle var47.close import_pickle	var47.close
452	var47.close import_pickle var47.close	var53=pandas.DataFrame
453	loc loc import_lightgbm	var42=lightgbm.LGBMRegressor
454	var48=var47.fit_transform var50=var47.fit_transform import_xgboost	import_lightgbm
455	var50=var47.fit_transform import_xgboost import_lightgbm	var54=xgboost.DMatrix
459	import_pandas import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
460	var17.fit var18=var17.predict import_tensorflow	import_tensorflow.contrib.learn
461	var18=var17.predict import_tensorflow import_tensorflow.contrib.learn	var20=tensorflow.contrib.learn.DNNClassifier
462	var10=var0.copy var13.head import_seaborn	import_matplotlib.pyplot
463	var13.head import_seaborn import_matplotlib.pyplot	seaborn.set
464	import_seaborn import_matplotlib.pyplot seaborn.set	var14=seaborn.FacetGrid
465	var0=seaborn.color_palette	import_plotly.offline
466	var0=seaborn.color_palette import_plotly.offline	plotly.offline.init_notebook_mode
467	var0=seaborn.color_palette import_plotly.offline plotly.offline.init_notebook_mode	import_plotly.graph_objs
468	import_plotly.offline plotly.offline.init_notebook_mode import_plotly.graph_objs	import_plotly.tools
469	plotly.offline.init_notebook_mode import_plotly.graph_objs import_plotly.tools	var1=pandas.read_csv
470	var7.fit var8=var7.predict import_seaborn	seaborn.heatmap
471	var8=var7.predict import_seaborn seaborn.heatmap	var10.fit
474	import_pandas import_numpy import_matplotlib.pyplot	var0=pandas.read_csv
477	var10=var0.drop var12=var6.drop import_matplotlib.gridspec	import_matplotlib.gridspec
478	var12=var6.drop import_matplotlib.gridspec import_matplotlib.gridspec	matplotlib.pyplot.figure
479	pandas.set_option	var0=pandas.read_csv
480	var35=var34.sample var27=var35.drop import_collections	var43.fit
481	import_matplotlib.pyplot	import_sklearn
482	import_matplotlib.pyplot import_sklearn	var0=pandas.read_csv
483	matplotlib.pyplot.show var3=numpy.array var4=numpy.array	iloc
484	var3=numpy.array var4=numpy.array iloc	var5=var5.drop
485	var4=numpy.array iloc var5=var5.drop	var5=numpy.array
486	iloc var5=var5.drop var5=numpy.array	var5=numpy.log1p
487	var5=var5.drop var5=numpy.array var5=numpy.log1p	var4.append_0
488	var5=numpy.array var5=numpy.log1p var4.append_0	var7=numpy.array
489	var5=numpy.log1p var4.append_0 var7=numpy.array	iloc
490	var4.append_0 var7=numpy.array iloc	var5=numpy.array
491	var7=numpy.array iloc var5=numpy.array	var5=numpy.log1p
492	iloc var5=numpy.array var5=numpy.log1p	var7.append_0
493	var5=numpy.array var5=numpy.log1p var7.append_0	var8.fit
495	matplotlib.pyplot.figure seaborn.heatmap import_scikitplot	var9.fit
509	var12.append_0 var0.drop import_matplotlib.pyplot	import_seaborn
510	var0.drop import_matplotlib.pyplot import_seaborn	var15=var0.drop
511	var3=var3.fillna var17=var2.drop import_lightgbm	var20=var19.fit
512	import_warnings	import_multiprocessing
513	import_multiprocessing import_xgboost import_pandas	import_seaborn
514	import_xgboost import_pandas import_seaborn	import_matplotlib.pyplot
515	import_pandas import_seaborn import_matplotlib.pyplot	var1=pandas.read_csv
516	loc loc import_gc	loc
517	seaborn.kdeplot seaborn.kdeplot matplotlib.pyplot.figure	var14=seaborn.jointplot
518	seaborn.kdeplot matplotlib.pyplot.figure var14=seaborn.jointplot	var14.plot_joint
519	matplotlib.pyplot.figure var14=seaborn.jointplot var14.plot_joint	var14.set_axis_labels
520	var14=seaborn.jointplot var14.plot_joint var14.set_axis_labels	seaborn.jointplot
521	var45=pandas.DataFrame loc matplotlib.pyplot.figure	var14=seaborn.jointplot
522	loc matplotlib.pyplot.figure var14=seaborn.jointplot	var14.plot_joint
524	var14=seaborn.jointplot var14.plot_joint var14.set_axis_labels	matplotlib.pyplot.figure
525	var14.plot_joint var14.set_axis_labels matplotlib.pyplot.figure	var14=seaborn.jointplot
526	var14.set_axis_labels matplotlib.pyplot.figure var14=seaborn.jointplot	var14.plot_joint
528	var14=seaborn.jointplot var14.plot_joint var14.set_axis_labels	var38.remove
529	import_torch	numpy.set_printoptions
530	var17.set_index var20=var12.append_0 pandas.set_option	pandas.set_option
531	var20=var12.append_0 pandas.set_option pandas.set_option	var25=var25.drop
532	var42=var44.fit_transform var43=var44.transform import_torch	import_torch.nn
533	var43=var44.transform import_torch import_torch.nn	import_torch.nn.functional
534	import_torch import_torch.nn import_torch.nn.functional	shape
536	import_matplotlib.pyplot import_seaborn	seaborn.set_palette
537	import_warnings	var0.drop
538	var77=var1.copy var77=pandas.concat import_math	var78.fit
539	loc var80.fit import_scipy	var96=numpy.round
540	import_warnings	import_matplotlib.pyplot
541	import_warnings import_matplotlib.pyplot	import_seaborn
542	import_warnings import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
545	import_numpy import_pandas import_os	import_pandas
546	import_pandas import_os import_pandas	import_numpy
547	import_os import_pandas import_numpy	import_matplotlib.pyplot
549	import_numpy import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
550	import_gc	loc
555	var32=lightgbm.LGBMClassifier var32.fit import_pickle	var33=var32.predict
557	var9=var8.where var2=var2.drop import_featuretools.variable_types	var17.append_0
558	import_featuretools.variable_types var17.append_0 import_matplotlib.pyplot	matplotlib.pyplot.title
559	var50=numpy.mean var51=numpy.std var52=pandas.DataFrame	var53=pandas.DataFrame
561	import_pandas import_numpy	import_warnings
562	import_pandas import_numpy import_warnings	import_matplotlib.pyplot
563	import_numpy import_warnings import_matplotlib.pyplot	import_seaborn
564	import_warnings import_matplotlib.pyplot import_seaborn	import_plotly.graph_objs
565	import_matplotlib.pyplot import_seaborn import_plotly.graph_objs	import_cufflinks
566	import_seaborn import_plotly.graph_objs import_cufflinks	cufflinks.set_config_file
567	import_plotly.graph_objs import_cufflinks cufflinks.set_config_file	var2=plotly.graph_objs.Layout
568	var105=var115.fit var116=pandas.DataFrame import_lightgbm	var117=lightgbm.LGBMClassifier
569	import_scipy.stats	var0=pandas.read_csv
570	var22.fit var24=var22.predict import_lightgbm	var25=pandas.DataFrame
571	var0.describe var0.describe pandas.set_option	pandas.set_option
572	var0.describe pandas.set_option pandas.set_option	var0.head
573	var0.head var0.info import_plotly.graph_objs	import_plotly.plotly
574	var0.info import_plotly.graph_objs import_plotly.plotly	import_plotly.figure_factory
575	import_plotly.graph_objs import_plotly.plotly import_plotly.figure_factory	import_matplotlib.pyplot
576	import_plotly.plotly import_plotly.figure_factory import_matplotlib.pyplot	import_seaborn
577	import_plotly.figure_factory import_matplotlib.pyplot import_seaborn	import_random
578	import_matplotlib.pyplot import_seaborn import_random	import_warnings
579	import_seaborn import_random import_warnings	import_operator
580	import_random import_warnings import_operator	loc
584	import_numpy import_pandas import_matplotlib.pyplot	var1=pandas.read_csv
586	import_numpy import_pandas	import_matplotlib
587	import_numpy import_pandas import_matplotlib	import_matplotlib.pyplot
588	import_pandas import_matplotlib import_matplotlib.pyplot	import_seaborn
589	import_matplotlib import_matplotlib.pyplot import_seaborn	var1=pandas.read_csv
591	import_plotly.graph_objs	import_plotly.plotly
592	import_plotly.graph_objs import_plotly.plotly	import_plotly.figure_factory
