	Line	Next
66	matplotlib.pyplot.suptitle matplotlib.pyplot.show var12=pandas.read_csv	var12.head
67	var12=pandas.read_csv var12.head var13=pandas.read_csv	var13.head
68	var13=pandas.read_csv var13.head var14=pandas.read_csv	var14.head
138	var14=var13.load var15.append_1 var17=pandas.read_csv	var17.head
139	var2=pandas.read_csv	var2.head
140	var2=pandas.read_csv var2.head	matplotlib.pyplot.imshow
143	import_pretrainedmodels import_adabound var1=pandas.read_csv	var2=matplotlib.pyplot.figure
144	import_adabound var1=pandas.read_csv var2=matplotlib.pyplot.figure	var4=var2.add_subplot
145	var1=pandas.read_csv var2=matplotlib.pyplot.figure var4=var2.add_subplot	matplotlib.pyplot.imshow
146	var2=matplotlib.pyplot.figure var4=var2.add_subplot matplotlib.pyplot.imshow	values
147	var4=var2.add_subplot matplotlib.pyplot.imshow values	var4.set_title
148	matplotlib.pyplot.imshow values var4.set_title	var8=pandas.DataFrame
149	values var4.set_title var8=pandas.DataFrame	var1.head
150	var4.set_title var8=pandas.DataFrame var1.head	var10=albumentations.Tensor
151	var4.append_0	var3.append_1
152	var4.append_0 var3.append_1	var6=pandas.read_csv
153	var4.append_0 var3.append_1 var6=pandas.read_csv	var6.head
154	var3.append_1 var6=pandas.read_csv var6.head	iloc
155	var6=pandas.read_csv var6.head iloc	var12=pandas.DataFrame
157	var2=pandas.read_csv var2.head	var3.sort
158	var25=lightgbm.Dataset var26=lightgbm.train var27=pandas.read_csv	var27.to_csv
161	var0.ls var1=pandas.read_csv	var2=pandas.read_csv
162	var0.ls var1=pandas.read_csv var2=pandas.read_csv	var5.lr_find
164	var3.head	var4.head
165	var3.head var4.head	var9.fit_one_cycle
166	var5.save var10=var10.astype var8.to_csv	var8.to_csv
167	var10=var10.astype var8.to_csv var8.to_csv	var8.to_csv
168	var2=pandas.read_csv	var9=pandas.DataFrame
169	var11.load var17=var17.tolist var19=pandas.read_csv	var24=pandas.DataFrame
170	var17=var17.tolist var19=pandas.read_csv var24=pandas.DataFrame	var24.to_csv
171	var19=pandas.read_csv var24=pandas.DataFrame var24.to_csv	var24.head
180	import_numpy var1.append_0 var7=pandas.read_csv	var7.head
181	matplotlib.pyplot.show var23.append_0 var26=pandas.read_csv	var26=pandas.DataFrame
182	var23.append_0 var26=pandas.read_csv var26=pandas.DataFrame	var26.to_csv
184	var0=pandas.read_csv var0.head	import_matplotlib.pyplot
185	var0=pandas.read_csv var0.head import_matplotlib.pyplot	import_tqdm
186	var0.head import_matplotlib.pyplot import_tqdm	var1=matplotlib.pyplot.imread
187	import_matplotlib.pyplot import_tqdm var1=matplotlib.pyplot.imread	var2=numpy.array
188	var15=var5.predict var16=var5.predict var19=pandas.read_csv	var19.head
189	var16=var5.predict var19=pandas.read_csv var19.head	var20=numpy.array
190	var1=var0.flow_from_dataframe	var2=var0.flow_from_dataframe
191	var1=var0.flow_from_dataframe var2=var0.flow_from_dataframe	var3=pandas.read_csv
192	var1=var0.flow_from_dataframe var2=var0.flow_from_dataframe var3=pandas.read_csv	var4.add_conv2d
193	var4.add_globalaveragepooling2d var4.add_dense var4.compile	var4.fit_generator
194	var4.add_dense var4.compile var4.fit_generator	var8=pandas.read_csv
195	var4.compile var4.fit_generator var8=pandas.read_csv	var9=numpy.empty
196	var4.fit_generator var8=pandas.read_csv var9=numpy.empty	var8.to_csv
197	var8=pandas.read_csv var9=numpy.empty var8.to_csv	var10=numpy.array
203	var21=var11.predict var22=var11.predict var25=pandas.read_csv	var26=numpy.array
204	import_torch var1=pandas.read_csv	var2=pandas.read_csv
205	import_torch var1=pandas.read_csv var2=pandas.read_csv	var6.fit_one_cycle
206	var2=pandas.read_csv	var2.tail
207	var2=pandas.read_csv var2.tail	var8.compile
214	import_matplotlib.pyplot import_gc var15=pandas.read_csv	var15.head
215	import_gc var15=pandas.read_csv var15.head	var15.drop
216	var36.load_weights var36.save var43=pandas.read_csv	var45=var36.predict
217	var0=pandas.read_csv	var0.to_csv
219	var0=pandas.read_csv var0.head	var0.to_csv
220	var3=pandas.read_csv	var3.head
222	var10=numpy.zeros var18=var11.predict var19=pandas.read_csv	var19.head
223	var11.remove	var12.remove
224	var11.remove var12.remove	var17=numpy.zeros
225	var55.load dataset var63=pandas.read_csv	var63.head
226	dataset var63=pandas.read_csv var63.head	var55.set_data
227	var29=numpy.zeros var29=numpy.zeros var35=pandas.read_csv	var35.head
228	var29=numpy.zeros var35=pandas.read_csv var35.head	image_info
229	matplotlib.pyplot.subplot var74=var56.detect var78=pandas.read_csv	var78.head
230	var74=var56.detect var78=pandas.read_csv var78.head	var74=var56.detect
231	var74=var56.detect var41=numpy.stack var85=pandas.read_csv	var85.head
232	var41=numpy.stack var85=pandas.read_csv var85.head	var74=var56.detect
233	var5=numpy.concatenate var8.append_0 var12.head	var14.append_0
234	var33.append_0 var67.load var69=pandas.read_csv	var69.head
235	var67.load var69=pandas.read_csv var69.head	var67.set_data
236	var15=numpy.zeros var60=numpy.zeros var16=var16.drop	var16.head
237	var60=numpy.zeros var16=var16.drop var16.head	var16.drop
238	var16=var16.drop var16.head var16.drop	var61.sample
239	var16.head var16.drop var61.sample	var62=pandas.merge
240	var16.drop var61.sample var62=pandas.merge	var63=pandas.merge
241	var61.sample var62=pandas.merge var63=pandas.merge	var60=numpy.zeros
242	var43.savefig var49.set_data var89=pandas.read_csv	var89.head
243	var19=numpy.zeros var19=numpy.zeros var21=pandas.read_csv	var22=pandas.notna
244	var19=numpy.zeros var21=pandas.read_csv var22=pandas.notna	var21.head
245	var21=pandas.read_csv var22=pandas.notna var21.head	var21.drop
246	var93=pandas.DataFrame var93.head var94=pandas.read_csv	var94=pandas.DataFrame
247	var93.head var94=pandas.read_csv var94=pandas.DataFrame	var93=pandas.concat
248	var94=pandas.read_csv var94=pandas.DataFrame var93=pandas.concat	var93.to_csv
249	var94=pandas.DataFrame var93=pandas.concat var93.to_csv	var93.head
250	var20=numpy.zeros var20=numpy.zeros var22=pandas.read_csv	var23=pandas.notna
251	var20=numpy.zeros var22=pandas.read_csv var23=pandas.notna	var22.head
252	var22=pandas.read_csv var23=pandas.notna var22.head	var22.drop
253	var95=pandas.DataFrame var95.head var97=pandas.read_csv	var97=pandas.DataFrame
254	var95.head var97=pandas.read_csv var97=pandas.DataFrame	var95=pandas.concat
255	var97=pandas.read_csv var97=pandas.DataFrame var95=pandas.concat	var95.to_csv
256	var97=pandas.DataFrame var95=pandas.concat var95.to_csv	var95.head
259	var16=numpy.zeros var17=numpy.zeros var20=pandas.read_csv	var20=pandas.DataFrame
260	var17=numpy.zeros var20=pandas.read_csv var20=pandas.DataFrame	var13=pandas.concat
261	var20=pandas.read_csv var20=pandas.DataFrame var13=pandas.concat	var13.to_csv
262	var20=pandas.DataFrame var13=pandas.concat var13.to_csv	var13.head
263	var10.remove	var11.remove
264	var10.remove var11.remove	var16=numpy.zeros
265	var54.load dataset var62=pandas.read_csv	var62.head
266	dataset var62=pandas.read_csv var62.head	var54.set_data
274	var13=numpy.zeros var14=numpy.zeros var15=pandas.read_csv	var15.head
275	var14=numpy.zeros var15=pandas.read_csv var15.head	var13=numpy.zeros
276	var15.head var13=numpy.zeros var16=pandas.read_csv	var16.head
277	var13=numpy.zeros var16=pandas.read_csv var16.head	var14=numpy.zeros
279	var2=pandas.read_csv var2.head	var5=numpy.zeros
280	var2.head var5=numpy.zeros var6=pandas.read_csv	var6.head
281	var5=numpy.zeros var6=pandas.read_csv var6.head	var9=numpy.zeros
282	import_seaborn import_cv2 var0=pandas.read_csv	import_os
283	var6=numpy.zeros var12=numpy.zeros var13=pandas.read_csv	var13.head
284	import_matplotlib.pyplot import_keras.backend var6=pandas.read_csv	var6.head
285	import_keras.backend var6=pandas.read_csv var6.head	var7.head
286	var69=var42.predict var70=numpy.stack var71=pandas.read_csv	var71.head
287	var70=numpy.stack var71=pandas.read_csv var71.head	var72.head
288	var11=pandas.read_csv	var11.head
289	var11=pandas.read_csv var11.head	ImageId
290	var16=pandas.read_csv	var17=pandas.read_csv
291	var16=pandas.read_csv var17=pandas.read_csv	var16=pandas.DataFrame
292	var16=pandas.read_csv var17=pandas.read_csv var16=pandas.DataFrame	var17=pandas.DataFrame
293	var17=pandas.read_csv var16=pandas.DataFrame var17=pandas.DataFrame	var18=var17.join
295	var0=pandas.read_csv var0.head	matplotlib.pyplot.show
296	import_pandas	var5=pandas.read_csv
297	import_pandas var5=pandas.read_csv	var7.rectangle
298	var19=numpy.zeros var20=numpy.zeros var21=pandas.read_csv	var21.head
299	var20=numpy.zeros var21=pandas.read_csv var21.head	var21.drop
300	var2=numpy.zeros var3=pandas.read_csv	var3.head
301	var2=numpy.zeros var3=pandas.read_csv var3.head	matplotlib.pyplot.bar
302	var2=pandas.read_csv	matplotlib.pyplot.imshow
303	var7=pandas.read_csv	var7.head
304	var7=pandas.read_csv var7.head	var11=pandas.concat
305	matplotlib.pyplot.plot matplotlib.pyplot.show var61=pandas.read_csv	var49.eval
306	var3=pandas.read_csv	var3=var3.sample
307	import_os var0=pandas.read_csv	var0.head
308	import_os var0=pandas.read_csv var0.head	matplotlib.pyplot.bar
309	matplotlib.pyplot.ylabel var5=numpy.zeros var12=pandas.read_csv	var12.head
310	var5=numpy.zeros var12=pandas.read_csv var12.head	var13=numpy.zeros
311	var4=numpy.zeros var5=numpy.zeros var30=pandas.read_csv	var30.head
312	var5=numpy.zeros var30=pandas.read_csv var30.head	var30.drop
314	var0=pandas.read_csv var0.head	matplotlib.pyplot.bar
317	var2=pandas.read_csv var3=pandas.read_csv var4=pandas.read_csv	var4.head
318	var3=pandas.read_csv var4=pandas.read_csv var4.head	var8=numpy.zeros
321	var17.load var21=pandas.DataFrame	var21.to_csv
322	var17.fit var17.save var21=pandas.DataFrame	var21.to_csv
323	var17.save var21=pandas.DataFrame var21.to_csv	var17.unfreeze
324	var2.append_0 var11=pandas.DataFrame	var11.to_csv
325	var2.append_0 var11=pandas.DataFrame var11.to_csv	var11.head
327	var2=pandas.read_csv var2.head	var3=numpy.zeros
328	var8.remove	var9.remove
329	var8.remove var9.remove	var14=numpy.zeros
330	store store var38=var36.view	var50.freeze_to
336	var1=pandas.read_csv var1.head	var1.head
337	import_os	import_PIL
338	import_os import_PIL	import_numpy
339	import_os import_PIL import_numpy	var3=numpy.array
340	import_PIL import_numpy var3=numpy.array	import_matplotlib.pyplot
343	var8=numpy.zeros var9=numpy.zeros var10=pandas.read_csv	var10.head
344	var9=numpy.zeros var10=pandas.read_csv var10.head	import_skimage
345	var6=var5.next matplotlib.pyplot.figure var10=pandas.read_csv	var10.head
346	matplotlib.pyplot.figure var10=pandas.read_csv var10.head	var13=numpy.zeros
347	var4=numpy.zeros var2=var5.split var10=pandas.read_csv	shape
348	var2=var5.split var10=pandas.read_csv shape	var10.head
349	var10=pandas.read_csv shape var10.head	var13=numpy.zeros
351	var11=pandas.read_csv var11.head	var11.head
352	var0=pandas.read_csv	var1=var0.drop
353	var0=pandas.read_csv var1=var0.drop	var1.head
354	var5.join var8.extend var10=pandas.DataFrame	var11=pandas.read_csv
355	var8.extend var10=pandas.DataFrame var11=pandas.read_csv	var11=pandas.DataFrame
356	var10=pandas.DataFrame var11=pandas.read_csv var11=pandas.DataFrame	var10=pandas.concat
357	var11=pandas.read_csv var11=pandas.DataFrame var10=pandas.concat	var10.to_csv
363	var5=pandas.read_csv	ImageId
364	var5=pandas.read_csv ImageId	var5=var5.set_index
365	var5=pandas.read_csv ImageId var5=var5.set_index	var10=var10.astype
366	var0=pandas.read_csv	ImageId
367	var0=pandas.read_csv ImageId	var0=var0.set_index
368	var0=pandas.read_csv ImageId var0=var0.set_index	var4=numpy.zeros
369	ImageId var0=var0.set_index var4=numpy.zeros	var5.summary
370	var30=numpy.full_like var30=numpy.arange var35=pandas.read_csv	var35.head
371	var30=numpy.arange var35=pandas.read_csv var35.head	var36.head
372	var49=var44.detect var51.append_0 var53=pandas.read_csv	var53.head
373	var51.append_0 var53=pandas.read_csv var53.head	var54.load_ships
374	var10.append_0 var11.append_1 var15=pandas.read_csv	var15.head
375	var11.append_1 var15=pandas.read_csv var15.head	var18=numpy.zeros
380	var2=pandas.read_csv	var8=numpy.zeros
381	var2=numpy.zeros var2=numpy.zeros var7=pandas.read_csv	var7.set_index
382	var2=numpy.zeros var7=pandas.read_csv var7.set_index	var7.head
383	var7=pandas.read_csv var7.set_index var7.head	var9.head
386	var14=tensorflow.reshape var22=var21.minimize var23=pandas.read_csv	var23.head
388	var2=numpy.zeros var3=pandas.read_csv var3.head	matplotlib.pyplot.tight_layout
391	var2=var1.sample var3=var1.sample import_numpy	var7=numpy.array
393	import_tensorflow var0=pandas.read_csv	var6=numpy.zeros
394	var0=pandas.read_csv	var5=numpy.zeros
395	import_cv2	import_math
396	import_cv2 import_math	import_matplotlib.pyplot
397	import_cv2 import_math import_matplotlib.pyplot	var0=pandas.read_csv
398	import_math import_matplotlib.pyplot var0=pandas.read_csv	var0.head
399	import_matplotlib.pyplot var0=pandas.read_csv var0.head	var3=numpy.zeros
400	import_pandas import_matplotlib.pyplot var1.reset_index	var1.head
401	import_matplotlib.pyplot var1.reset_index var1.head	var4=numpy.zeros
403	seaborn.countplot var3.head var9=pandas.read_csv	var9.head
404	var0=pandas.read_csv	var0.info
405	var0=pandas.read_csv var0.info	var0.head
413	var77=pandas.DataFrame var77.head var79=pandas.read_csv	var79=pandas.DataFrame
414	var77.head var79=pandas.read_csv var79=pandas.DataFrame	var77=pandas.concat
415	var79=pandas.read_csv var79=pandas.DataFrame var77=pandas.concat	var77.to_csv
416	var79=pandas.DataFrame var77=pandas.concat var77.to_csv	var77.head
418	import_gc var15=pandas.read_csv var15.head	ImageId
419	var37.load_weights var37.save var44=pandas.read_csv	var46=var37.predict
421	var0=pandas.read_csv var0.head	iat
422	var12=numpy.int0 var12=numpy.int0 var13=pandas.read_csv	var13.head
423	var12=numpy.int0 var13=pandas.read_csv var13.head	matplotlib.pyplot.figure
427	var5=numpy.zeros var6=pandas.read_csv var6.head	var17=numpy.array
432	cudnn var3.head	var3.drop_duplicates
436	var3=pandas.read_csv var3.head	var4=pandas.notna
439	var5=pandas.read_csv ImageId var5=var5.set_index	index
442	var10=pandas.read_csv	var10.head
443	var10=pandas.read_csv var10.head	ImageId
447	var102=pandas.DataFrame var102.head var104=pandas.read_csv	var104=pandas.DataFrame
448	var102.head var104=pandas.read_csv var104=pandas.DataFrame	var102=pandas.concat
449	var104=pandas.read_csv var104=pandas.DataFrame var102=pandas.concat	var102.to_csv
450	var104=pandas.DataFrame var102=pandas.concat var102.to_csv	var102.head
451	var17=pandas.read_csv	var17=var17.drop
452	var5=matplotlib.pyplot.imread var5=matplotlib.pyplot.imread var15=pandas.read_csv	var15.head
453	var5=matplotlib.pyplot.imread var15=pandas.read_csv var15.head	seaborn.barplot
454	var8=pandas.read_csv	var12=pandas.concat
455	matplotlib.pyplot.plot matplotlib.pyplot.show var62=pandas.read_csv	var50.eval
456	var4=pandas.read_csv	ImageId
457	var4=pandas.read_csv ImageId	var4=var4.set_index
458	var4=pandas.read_csv ImageId var4=var4.set_index	var4.head
459	ImageId var4=var4.set_index var4.head	var9=var9.astype
463	var0=pandas.read_csv	var3=var2.copy
467	var0.head var1=pandas.read_csv var1.head	import_pandas
468	var1=pandas.read_csv var1.head import_pandas	var2=pandas.read_csv
469	var1.head import_pandas var2=pandas.read_csv	var2.head
483	import_plotly.graph_objs import_xgboost var0=pandas.read_csv	var0.info
503	var3=pandas.read_csv	loc
504	var3=pandas.read_csv loc	var4.plot
506	var0=pandas.read_csv var0.head	var0.sample
507	var0.head var0.sample var1=pandas.read_csv	var1.head
508	var0.sample var1=pandas.read_csv var1.head	import_pandas
509	var1=pandas.read_csv var1.head import_pandas	var4=pandas.read_csv
510	var1.head import_pandas var4=pandas.read_csv	var4.head
512	var2=pandas.read_csv var3=pandas.read_csv	iloc
513	var0=pandas.read_csv	var0.drop
514	var0=pandas.read_csv var0.drop	var0.head
515	var0=pandas.read_csv var0.drop var0.head	matplotlib.pyplot.legend
522	import_pandas var2=pandas.read_csv var2.head	var2.head
524	var0=pandas.read_csv var0.head	var1.head
525	var0=pandas.read_csv var0.head var1.head	matplotlib.pyplot.plot
533	var0=pandas.read_csv var0.info	var0.describe
534	var0=pandas.read_csv var0.info var0.describe	var0.head
578	var0=pandas.read_csv	var1.head
580	var0=pandas.read_csv var0.head	var2=var1.drop
581	var1=pandas.DataFrame	var1.drop
582	var1=pandas.DataFrame var1.drop	var2=pandas.read_csv
583	var1=pandas.DataFrame var1.drop var2=pandas.read_csv	var2.drop
584	var1.drop var2=pandas.read_csv var2.drop	var3=pandas.read_csv
585	var2=pandas.read_csv var2.drop var3=pandas.read_csv	var3.drop
586	var2.drop var3=pandas.read_csv var3.drop	var4=pandas.read_csv
587	var3=pandas.read_csv var3.drop var4=pandas.read_csv	var5.drop
588	var3.drop var4=pandas.read_csv var5.drop	var6=pandas.read_csv
589	var4=pandas.read_csv var5.drop var6=pandas.read_csv	var7.drop
590	var5.drop var6=pandas.read_csv var7.drop	var18=var17.fit_transform
659	import_seaborn var0=seaborn.color_palette var1=pandas.read_csv	var1.tail
660	var0=seaborn.color_palette var1=pandas.read_csv var1.tail	import_matplotlib.dates
661	matplotlib.pyplot.show var5.append_0 var8=pandas.read_csv	var8.head
662	var5.append_0 var8=pandas.read_csv var8.head	iloc
663	iloc iloc var20=pandas.read_csv	var20.tail
664	iloc var20=pandas.read_csv var20.tail	var21=pandas.read_csv
665	var20=pandas.read_csv var20.tail var21=pandas.read_csv	var22=pandas.read_csv
666	var20.tail var21=pandas.read_csv var22=pandas.read_csv	var23=pandas.read_csv
667	var21=pandas.read_csv var22=pandas.read_csv var23=pandas.read_csv	var24=pandas.read_csv
668	var22=pandas.read_csv var23=pandas.read_csv var24=pandas.read_csv	var25=pandas.read_csv
669	var23=pandas.read_csv var24=pandas.read_csv var25=pandas.read_csv	var26=pandas.read_csv
670	var24=pandas.read_csv var25=pandas.read_csv var26=pandas.read_csv	var27=pandas.read_csv
671	var25=pandas.read_csv var26=pandas.read_csv var27=pandas.read_csv	var28=pandas.read_csv
672	var26=pandas.read_csv var27=pandas.read_csv var28=pandas.read_csv	var29=pandas.read_csv
673	var27=pandas.read_csv var28=pandas.read_csv var29=pandas.read_csv	var30=pandas.read_csv
674	var28=pandas.read_csv var29=pandas.read_csv var30=pandas.read_csv	var31=pandas.merge
675	import_csv	var9.append_0
676	import_csv var9.append_0	var7.append_1
677	import_csv var9.append_0 var7.append_1	var10.extend
678	var9.append_0 var7.append_1 var10.extend	var8.append_2
679	var7.append_1 var10.extend var8.append_2	import_csv
680	var10.extend var8.append_2 import_csv	var7.append_0
681	var8.append_2 import_csv var7.append_0	var8.append_1
682	import_csv var7.append_0 var8.append_1	import_numpy
683	import_numpy var29.fit import_pandas	var31=pandas.read_csv
684	var29.fit import_pandas var31=pandas.read_csv	var32=pandas.get_dummies
685	import_pandas var31=pandas.read_csv var32=pandas.get_dummies	import_pandas
687	var0=pandas.read_csv var1=pandas.read_csv	var4=var3.corr
688	var16=var15.predict var17=var15.predict var18=pandas.read_csv	var18.head
689	cat cat import_numpy	import_pandas
690	cat import_numpy import_pandas	var1=pandas.read_csv
691	import_numpy import_pandas var1=pandas.read_csv	var2=pandas.read_csv
692	import_pandas var1=pandas.read_csv var2=pandas.read_csv	var2=pandas.read_csv
693	var1=pandas.read_csv var2=pandas.read_csv var2=pandas.read_csv	var1=pandas.read_csv
694	var2=pandas.read_csv var2=pandas.read_csv var1=pandas.read_csv	var1=pandas.read_csv
695	var2=pandas.read_csv var1=pandas.read_csv var1=pandas.read_csv	var13=pandas.DataFrame
696	var1=pandas.read_csv var1=pandas.read_csv var13=pandas.DataFrame	var5=pandas.DataFrame
697	var1=pandas.read_csv var13=pandas.DataFrame var5=pandas.DataFrame	var6=pandas.DataFrame
698	var13=pandas.DataFrame var5=pandas.DataFrame var6=pandas.DataFrame	var17.fit
699	var5=pandas.DataFrame var6=pandas.DataFrame var17.fit	cat
700	var6=pandas.DataFrame var17.fit cat	cat
701	var17.fit cat cat	import_numpy
706	var1=pandas.read_csv var2=pandas.read_csv var2=pandas.read_csv	var5=pandas.DataFrame
707	var2=pandas.read_csv var2=pandas.read_csv var5=pandas.DataFrame	var6=pandas.DataFrame
708	var2=pandas.read_csv var5=pandas.DataFrame var6=pandas.DataFrame	var17.fit
709	var5=pandas.DataFrame var6=pandas.DataFrame var17.fit	var1=pandas.read_csv
710	var6=pandas.DataFrame var17.fit var1=pandas.read_csv	var18=pandas.DataFrame
711	var17.fit var1=pandas.read_csv var18=pandas.DataFrame	var11=numpy.exp
712	var1=pandas.read_csv var18=pandas.DataFrame var11=numpy.exp	var13=pandas.DataFrame
713	var18=pandas.DataFrame var11=numpy.exp var13=pandas.DataFrame	var13.to_csv
714	var11=numpy.exp var13=pandas.DataFrame var13.to_csv	cat
715	var13=pandas.DataFrame var13.to_csv cat	cat
716	var0=pandas.read_csv	var5=var4.fit_transform
717	var0=pandas.read_csv var5=var4.fit_transform	var6=numpy.hstack
718	var0=pandas.read_csv var5=var4.fit_transform var6=numpy.hstack	var7=numpy.array
719	var5=var4.fit_transform var6=numpy.hstack var7=numpy.array	var8=var4.fit_transform
720	var6=numpy.hstack var7=numpy.array var8=var4.fit_transform	var5=numpy.vstack
721	var7=numpy.array var8=var4.fit_transform var5=numpy.vstack	var9.fit
722	var10=var9.predict var9.fit var0=pandas.read_csv	var5=var4.fit_transform
723	var9.fit var0=pandas.read_csv var5=var4.fit_transform	var6=numpy.hstack
724	var0=pandas.read_csv var5=var4.fit_transform var6=numpy.hstack	var8=var4.fit_transform
725	var5=var4.fit_transform var6=numpy.hstack var8=var4.fit_transform	var5=numpy.vstack
726	var6=numpy.hstack var8=var4.fit_transform var5=numpy.vstack	var11=var9.predict
728	var0=pandas.read_csv var1=pandas.read_csv	var4=numpy.log
729	var0=pandas.read_csv var1=pandas.read_csv var4=numpy.log	var18=var18.fit
730	var18=var18.fit var38=var18.predict var42=pandas.DataFrame	var42.to_csv
731	var38=var18.predict var42=pandas.DataFrame var42.to_csv	var43=pandas.read_csv
733	var0=pandas.read_csv var1=pandas.read_csv	ix
735	var0=pandas.read_csv var1=pandas.read_csv	var0.head
736	var4=pandas.read_csv	var4.sample
737	var4=pandas.read_csv var4.sample	var8=var4.sample
738	var8=var4.sample var6.fit var11=pandas.read_csv	var11.sample
739	var6.fit var11=pandas.read_csv var11.sample	var13=var6.predict
741	var0=pandas.read_csv var1=pandas.read_csv	var5=matplotlib.mlab.normpdf
742	var18.close var18.write var20=xgboost.DMatrix	var21=pandas.read_csv
743	var18.write var20=xgboost.DMatrix var21=pandas.read_csv	var21.to_csv
746	var6.fit var0.head seaborn.boxplot	var12.append_0
750	var0.head var1=pandas.read_csv var1.head	var2.apply
754	var0=pandas.read_csv var1=pandas.read_csv	var0.info
755	import_matplotlib.pyplot var1=pandas.read_csv	var2.remove
762	var0=pandas.read_csv var1=pandas.read_csv	iloc
764	var0=pandas.read_csv var1=pandas.read_csv	var0.describe
772	var0=pandas.read_csv var1=pandas.read_csv	var5.fit
774	var0=pandas.read_csv var0.head	var0.describe
775	var0=pandas.read_csv	var1.remove
777	var0=pandas.read_csv var1=pandas.read_csv	var2.append_0
787	var12=xgboost.DMatrix var15=xgboost.train var16=xgboost.DMatrix	var17=pandas.read_csv
788	var15=xgboost.train var16=xgboost.DMatrix var17=pandas.read_csv	var17.to_csv
791	var0=pandas.read_csv var1=pandas.read_csv	var3=numpy.log
792	var0=pandas.read_csv var1=pandas.read_csv var3=numpy.log	var0=var0.drop
793	var1=pandas.read_csv var3=numpy.log var0=var0.drop	var1=var1.drop
794	var3=numpy.log var0=var0.drop var1=var1.drop	shape
795	var0=var0.drop var1=var1.drop shape	shape
796	var1=var1.drop shape shape	var10=var9.fit_transform
798	var0=pandas.read_csv var1.remove	var1.remove
799	var0=pandas.read_csv var1.remove var1.remove	var4=var0.copy
802	import_pandas	var0=pandas.read_csv
803	import_pandas var0=pandas.read_csv	var1=pandas.read_csv
804	import_pandas var0=pandas.read_csv var1=pandas.read_csv	var2=var0.drop
805	var0=pandas.read_csv var1=pandas.read_csv var2=var0.drop	var3=pandas.concat
806	var1=pandas.read_csv var2=var0.drop var3=pandas.concat	var3=var3.drop
807	var2=var0.drop var3=pandas.concat var3=var3.drop	var7=pandas.get_dummies
815	var0=pandas.read_csv var1=pandas.read_csv	shape
817	var0=pandas.read_csv var1=pandas.read_csv	matplotlib.pyplot.figure
818	var8.head	var10.add_dense
821	var14.close var14.write var16=xgboost.DMatrix	var17=pandas.read_csv
822	var14.write var16=xgboost.DMatrix var17=pandas.read_csv	var17.to_csv
825	var11=xgboost.DMatrix var14=xgboost.train var15=xgboost.DMatrix	var16=pandas.read_csv
826	var14=xgboost.train var15=xgboost.DMatrix var16=pandas.read_csv	var16.to_csv
831	var0=pandas.read_csv var1=pandas.read_csv var0.head	matplotlib.pyplot.ylabel
832	import_numpy	import_pandas
