Masked	Next masked
var8=pandas.read_csv 	var12=pandas.concat 
var62=pandas.read_csv 	var50.eval 
var4=pandas.read_csv ImageId var4=var4.set_index var4.head 	var9=var9.astype 
import_numpy import_pandas import_matplotlib.pyplot import_os import_tqdm var2.remove 	var10.extract var12.append_0 
var0=pandas.read_csv 	var3=var2.copy matplotlib.pyplot.figure matplotlib.pyplot.imshow 
var0=pandas.read_csv 	var0.info 
var3=pandas.read_csv loc 	var4.plot 
var0=pandas.read_csv var0.head 	var0.sample 
var2=pandas.read_csv 	var3=pandas.read_csv 
var3=pandas.read_csv 	iloc iloc iloc iloc 
var0=pandas.read_csv var0.drop var0.head 	matplotlib.pyplot.legend 
var0=pandas.read_csv var0.head var1.head 	matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
var0=pandas.read_csv var0.info var0.describe 	var0.head 
var0=pandas.read_csv 	var1.head 
var0=pandas.read_csv var0.head 	var2=var1.drop var2.set_index 
var1=pandas.DataFrame var1.drop 	var2=pandas.read_csv var2.drop 
var4=pandas.read_csv var5.drop 	var6=pandas.read_csv var7.drop 
var6=pandas.read_csv var7.drop 	var18=var17.fit_transform var19=var19.interpolate var19.reset_index var19.drop 
var1=pandas.read_csv var1.tail 	import_matplotlib.dates seaborn.tsplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 
var8=pandas.read_csv var8.head 	iloc iloc var9.head 
var0=pandas.read_csv var1=pandas.read_csv 	var4=var3.corr matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.show 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	import_pandas import_numpy import_xgboost var1=pandas.read_csv var2=pandas.read_csv var5=pandas.DataFrame var6=pandas.DataFrame var7=xgboost.DMatrix var10=xgboost.train var12=xgboost.DMatrix var11=numpy.exp var13=pandas.DataFrame var13.to_csv cat cat 
import_numpy import_pandas var1=pandas.read_csv var2=pandas.read_csv var2=pandas.read_csv var1=pandas.read_csv var1=pandas.read_csv var13=pandas.DataFrame var5=pandas.DataFrame var6=pandas.DataFrame var17.fit cat cat 	import_numpy import_pandas var1=pandas.read_csv var2=pandas.read_csv var2=pandas.read_csv var5=pandas.DataFrame var6=pandas.DataFrame var17.fit var1=pandas.read_csv var18=pandas.DataFrame var11=numpy.exp var13=pandas.DataFrame var13.to_csv cat cat 
var0=pandas.read_csv var5=var4.fit_transform var6=numpy.hstack var8=var4.fit_transform var5=numpy.vstack 	var11=var9.predict var12=pandas.DataFrame var12.to_csv 
var0=pandas.read_csv var1=pandas.read_csv 	ix ix 
var0=pandas.read_csv var1=pandas.read_csv 	var0.head 
var11=pandas.read_csv var11.sample 	var13=var6.predict var14.sample 
import_numpy import_pandas import_matplotlib.mlab import_matplotlib.pyplot import_statsmodels.formula.api var0=pandas.read_csv var1=pandas.read_csv 	matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 
var0=pandas.read_csv var1=pandas.read_csv 	var5=matplotlib.mlab.normpdf var6=matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.grid matplotlib.pyplot.show 
seaborn.boxplot 	var12.append_0 
import_numpy import_pandas import_xgboost var0=pandas.read_csv var0.head var0.describe 	var1=xgboost.DMatrix var2=xgboost.DMatrix var5=xgboost.train var6=var5.predict 
var0=pandas.read_csv var1=pandas.read_csv 	var0.info 
var1=pandas.read_csv 	var2.remove var2.remove 
import_numpy import_pandas import_xgboost var0=pandas.read_csv var1=pandas.read_csv 	import_matplotlib.mlab import_matplotlib.pyplot var5=matplotlib.mlab.normpdf var6=matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.grid matplotlib.pyplot.show 
var0=pandas.read_csv var1=pandas.read_csv 	iloc var1.drop pandas.set_option pandas.set_option 
var0=pandas.read_csv var1=pandas.read_csv 	var0.describe 
import_numpy import_pandas import_seaborn var0=pandas.read_csv var1=pandas.read_csv 	seaborn.pairplot 
import_warnings import_pandas var1.drop 	iloc 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv 	var1.head 
var0=pandas.read_csv var0.head 	var0.describe 
var0=pandas.read_csv 	var1.remove var1.remove var1.append_0 var2.append_1 
var0=pandas.read_csv var1=pandas.read_csv 	var2.append_0 
var0=pandas.read_csv var1=pandas.read_csv var3=numpy.log var0=var0.drop var1=var1.drop shape shape 	var10=var9.fit_transform var10=var11.fit_transform 
import_numpy var0.head 	import_pandas var0.head 
import_pandas var0=pandas.read_csv var1=pandas.read_csv var2=var0.drop var3=pandas.concat var3=var3.drop 	var7=pandas.get_dummies var5=pandas.concat 
var0=pandas.read_csv var1=pandas.read_csv 	shape iloc iloc var11=var9.drop var12=numpy.log1p 
import_numpy import_pandas import_xgboost var0=pandas.read_csv var1=pandas.read_csv 	var6=pandas.DataFrame var5.head 
import_numpy import_pandas import_xgboost var0=pandas.read_csv var1=pandas.read_csv shape shape iloc iloc cat 	var8.head var10=pandas.DataFrame var10.sort 
var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var1.sample 
var1=pandas.read_csv var2=pandas.read_csv 	var3=pandas.concat var1=var1.drop var2=var2.drop var9=var7.union 
var0=pandas.read_csv var1=pandas.read_csv var0.head 	var2=var0.drop 
var0=pandas.read_csv var1=pandas.read_csv 	iloc var3=pandas.concat var5=pandas.DataFrame iloc var5=var5.join var11=pandas.get_dummies var5.append_0 
var0=pandas.read_csv var1=pandas.read_csv var0.drop var2=numpy.log 	var0=var0.append_0 var0.head var0.drop 
var0=pandas.read_csv var1=pandas.read_csv 	seaborn.distplot 
var2=pandas.read_csv var3=pandas.read_csv var4=var2.append_0 	var6=var4.copy var7=numpy.array 
var3=pandas.read_csv 	var4=matplotlib.pyplot.figure var5=matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 
var0=pandas.read_csv var1=pandas.read_csv 	var2=var0.as_matrix var4=var1.as_matrix var6=numpy.concatenate var5.fit 
var0=pandas.read_csv var1=pandas.read_csv 	var2=var0.as_matrix var4=var1.as_matrix 
var0=pandas.read_csv var1=pandas.read_csv 	var0=var0.drop var3=var0._get_numeric_data var4=var0.select_dtypes var5=var1._get_numeric_data var6=var1.select_dtypes 
import_numpy import_pandas import_matplotlib.pyplot import_matplotlib import_seaborn seaborn.set var0=pandas.read_csv var1.append_0 var2.append_1 	seaborn.boxplot 
var0=pandas.read_csv 	var1.append_0 
var0=pandas.read_csv var1=pandas.read_csv 	var2=pandas.read_csv iloc iloc 
var9=pandas.read_csv shape var11=pandas.read_csv 	var12=pandas.concat 
var0=pandas.read_csv var1=pandas.read_csv 	var0.drop var0.drop var1.drop 
var0=pandas.read_csv var0.drop var1=pandas.read_csv var1.drop var2=pandas.concat var3=var2.select_dtypes var2=pandas.concat var2.drop 	var8=xgboost.XGBClassifier 
var0=pandas.read_csv var0.head 	var0=var0.drop 
var1=pandas.read_csv 	iloc iloc iloc iloc 
var12.writerow 	var12.writerow var11.close var12.writerow 
var0=pandas.read_csv var1=pandas.read_csv var0.head 	var0.head 
var0=pandas.read_csv var0.head 	var1=var0.corr var0.plot 
var0=pandas.read_csv var0.head 	var1=pandas.crosstab matplotlib.pyplot.pcolor matplotlib.pyplot.show 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv 	var0=pandas.read_csv var1=pandas.read_csv 
var0=pandas.read_csv var1=pandas.read_csv 	var2=numpy.log 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv 	var2=var0.drop var3=var1.drop var4.head cat 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv 	var0.head 
var21.to_csv 	var22.fit var14=var22.score 
var0=pandas.read_csv var1=pandas.read_csv 	var2=numpy.log var0.drop var3=var0.append_0 
import_numpy import_pandas import_matplotlib.pyplot import_seaborn var0=pandas.read_csv var1=pandas.read_csv 	columns 
var1=pandas.read_csv 	var1.head 
var0=pandas.read_csv var1=pandas.read_csv 	var2=var0.head var3=var0.tail var4=var1.head 
import_numpy import_pandas import_matplotlib.pyplot var0=pandas.read_csv var1=pandas.read_csv 	pandas.set_option pandas.set_option var0.head 
var1=pandas.read_csv var2=pandas.read_csv 	var3=var1.describe var3=var3.transpose var3.head 
import_tensorflow import_numpy 	var28.fit 
var0=pandas.read_csv 	var1=pandas.DataFrame var2=pandas.DataFrame var4.remove var4.append_0 var3.append_1 
var0=pandas.read_csv 	pandas.set_option 
var0=pandas.read_csv var1=pandas.read_csv 	var2.remove var2.remove var2.append_0 var3.append_1 
var1=pandas.read_csv shape var3=pandas.read_csv var4=pandas.concat 	var7.remove var7.remove 
import_pandas import_numpy var0=pandas.read_csv var1=pandas.read_csv var0.head 	var0.drop var0.drop var1.drop 
var0=pandas.read_csv var1=pandas.read_csv 	var3.append_0 var4.append_1 
var0=pandas.read_csv 	numpy.mean 
var0=pandas.read_csv 	var0=var0.dropna 
var0=pandas.read_csv 	var0=var0.rename 
var16=pandas.read_csv var16.tail 	var16=var16.set_index var16.tail 
var0=pandas.read_csv var0.head 	var20=var0.set_index var20.head 
var3=pandas.read_csv var3=var3.drop_duplicates var3.head 	var3=var3.drop_duplicates 
var0=pandas.read_csv var0.head 	import_datetime 
pandas.read_csv 	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 
var0=pandas.read_csv 	seaborn.heatmap matplotlib.pyplot.show 
var0=pandas.read_csv 	loc var1=var1.dropna 
var0=pandas.read_csv 	var0.tail 
import_plotly import_plotly.graph_objs import_pandas import_numpy import_matplotlib.pyplot import_matplotlib.dates var5=pandas.read_csv var6.head var9=plotly.graph_objs.Figure 	var0.estimate_query_size 
var12=pandas.read_csv var12.head 	var10=var10.sort_values var9=plotly.graph_objs.Figure 
import_numpy import_pandas var0=pandas.read_csv var0.head 	var0=var0.dropna var2.head 
var0=pandas.read_csv var0.tail 	var0.tail 
import_pandas import_datetime var1=pandas.read_csv var1=var1.dropna var1=var1.head 	import_plotly.graph_objs var2=plotly.graph_objs.Layout var4=plotly.graph_objs.Figure 
var0=pandas.read_csv 	var0.describe 
var6=pandas.read_csv 	cat 
cat cat 	var24.info 
var12=pandas.read_csv 	var14=var8.transform 
var20=pandas.read_csv var22=var8.transform var23=var10.predict 	var24=pandas.DataFrame var24.to_csv 
var15=pandas.read_csv 	var15.head 
var0=pandas.read_csv 	var0.to_csv var0.head 
var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var3.head 
import_numpy import_pandas var3=pandas.read_csv var4=numpy.array var5=pandas.read_csv var6=numpy.zeros 	import_torch import_torch.utils.data 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	import_math 
var14=pandas.read_csv var14=var15.fit_transform 	var16=var16.permute 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0=var0.join var0.drop 
var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var4=pandas.concat 
var2=pandas.read_csv var3=var1.merge 	var5.append_0 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var0.head 	var3=numpy.array var4=numpy.array var3.append_0 var4.append_1 
var21=pandas.read_csv var21.to_csv var21.head 	seaborn.countplot 
seaborn.countplot 	seaborn.countplot 
var40=pandas.read_csv 	var40.head 
var0=pandas.read_csv var0.drop var1=pandas.read_csv var1.drop var2=pandas.read_csv var3=pandas.read_csv 	import_math var0=pandas.concat var1=pandas.concat 
var4=pandas.read_csv var5=pandas.read_csv var6=pandas.read_csv 	var7=pandas.concat 
var20=pandas.read_csv 	var22.get_n_splits 
import_numpy import_pandas import_tensorflow import_os var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var7=pandas.DataFrame var7.to_csv loc var9=numpy.mean var10=numpy.std var12=numpy.mean var13=numpy.std var15=numpy.mean var16=numpy.std var18=numpy.mean var19=numpy.std var21=numpy.mean var22=numpy.std var24=numpy.mean var25=numpy.std var27=numpy.mean var28=numpy.std var30=numpy.mean var31=numpy.std var33=numpy.mean var34=numpy.std var36=numpy.mean var37=numpy.std 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var0.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var4=pandas.DataFrame 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var5=numpy.array var5=numpy.append_0 var5=numpy.append_1 var9=numpy.heaviside var5=numpy.array var5=numpy.append_2 var5=numpy.append_3 var5=numpy.array var5=numpy.append_4 var5=numpy.append_5 
var1=pandas.read_csv var1.head 	var2=pandas.read_csv var2.head 
var2=pandas.read_csv var2.head 	var4=pandas.read_csv var4.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0.info 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.colorbar var7=numpy.arange matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.grid matplotlib.pyplot.tight_layout matplotlib.pyplot.text 
var2=pandas.read_csv var2.head 	var3=pandas.DataFrame 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var3=pandas.DataFrame 
var10=pandas.read_csv var5.fit var12=var5.fit_transform var13=pandas.DataFrame var13.head 	import_tensorflow 
var24=pandas.DataFrame shape shape shape shape var24=pandas.DataFrame var24=pandas.DataFrame var37=pandas.read_csv shape var19=pandas.read_csv var40=pandas.read_csv var19=pandas.merge var40=pandas.read_csv var19=pandas.merge var40=pandas.read_csv var41=pandas.read_csv var40=pandas.merge var19=pandas.concat var43=pandas.read_csv var40=pandas.read_csv var43=pandas.concat var44=pandas.merge var19=pandas.read_csv var40=pandas.read_csv var19=pandas.merge var40=pandas.read_csv var19=pandas.concat var45=pandas.DataFrame values values var24.to_csv var65=var65.replace 	shape var75.append_0 var75.append_1 var75.append_2 var24=pandas.DataFrame var75.append_3 var75.append_4 var75.append_5 var75.append_6 var75.append_7 var75.append_8 var75.append_9 var75.append_10 var75.append_11 var24=pandas.DataFrame var80.append_12 var80.append_13 var80.append_14 var72.append_15 var75.append_16 var75.append_17 var75.append_18 var75.append_19 var75.append_20 var75.append_21 var75.append_22 var75.append_23 var75.append_24 var75.append_25 var80.append_26 var80.append_27 var73.append_28 var73.append_29 var85.append_30 var86.append_31 var75.append_32 var75.append_33 var80.append_34 var80.append_35 var80.append_36 var80.append_37 var80.append_38 
var4=pandas.read_csv var5=pandas.read_csv var6=pandas.read_csv var7=pandas.read_csv 	var4.head 
var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var4=pandas.concat var2=pandas.DataFrame 
var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv var4=pandas.read_csv 	var1.head 
import_pandas var2=pandas.read_csv values values var5=pandas.read_csv values values 	var8.add_dense var8.add_dropout var8.add_dense var8.add_dropout var8.add_dense var8.add_dropout var8.add_dense var8.add_dropout var8.add_dense var8.compile var8.fit 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var7=var3.fit_transform var8=pandas.DataFrame var9=pandas.concat 
var6=pandas.merge var6.head var6.to_csv 	var6.drop var6.sample 
var16=pandas.DataFrame var16.to_csv 	var16.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var3=pandas_profiling.ProfileReport 
import_numpy import_pandas import_math var0=pandas.read_csv var1=pandas.read_csv 	var2=pandas.merge var2=var2.rename import_matplotlib.pyplot matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.errorbar matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show var11=numpy.array matplotlib.pyplot.subplot var15=matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var16=var16.sort_values matplotlib.pyplot.plot 
var9=pandas.read_csv var10=pandas.read_csv 	var15=numpy.sum 
var1=pandas.read_csv var2=pandas.read_csv shape shape 	var8=matplotlib.pylab.figure var8.suptitle var9.sort matplotlib.pylab.tight_layout matplotlib.pylab.show matplotlib.pylab.subplot matplotlib.pylab.imshow 
var0.thumbnail 	var1=matplotlib.pyplot.imread shape 
var5=pandas.read_csv var6=pandas.read_csv 	var5.head 
var3=pandas.read_csv var3.head 	var5=pandas.read_csv var5.head 
var5=pandas.read_csv var5.head 	var5.head 
var2=pandas.read_csv var2.head 	var3=keras.preprocessing.load_img var3=keras.preprocessing.img_to_array var4=keras.preprocessing.load_img var4=keras.preprocessing.img_to_array matplotlib.pyplot.show 
import_tensorflow import_numpy import_matplotlib.pyplot import_matplotlib.image import_os var0.append_0 var1.append_1 	var3.close var4=numpy.array shape shape var8=var4.tostring var9=var5.tostring var3.write 
var2=numpy.array var2.append_0 	var5=numpy.array var7=numpy.array var8=numpy.array var7.append_0 var8.append_1 
var7=pandas.read_csv var8=pandas.read_csv 	var8.head 
var0=pandas.read_csv var0.head 	var2=var2.resize 
var2=numpy.array var2.append_0 	var6=numpy.array var7=numpy.array var6.append_0 var7.append_1 
var3=pandas.read_csv 	var4.head 
var0=pandas.read_csv 	var1.append_0 var2.append_1 var3.append_2 
var1.to_csv 	matplotlib.pyplot.imshow matplotlib.pyplot.show 
var14=pandas.read_csv 	var3.update var19.append_0 
var0=pandas.read_csv 	var2=var2.ravel matplotlib.pyplot.tight_layout 
var18=pandas.read_csv 	var21.append_0 var5.update 
var13=pandas.read_csv 	var13.to_csv 
var1=pandas.read_csv 	var3.update 
var8=pandas.read_csv 	matplotlib.pyplot.imshow 
var10=pandas.read_csv 	matplotlib.pyplot.imshow 
import_os 	import_os.path var3.append_0 var4.append_1 
var4=var4.reset_index var4.to_csv 	var5=var5.reset_index var5.to_csv 
var5=var5.reset_index var5.to_csv 	var6=pandas.DataFrame var6.to_csv 
var2=pandas.read_csv 	var5.update 
var22=pandas.read_csv 	var25.append_0 var5.update 
var18=pandas.read_csv var21.append_0 var5.update 	var18.to_csv 
var0=pandas.read_csv 	var2=var2.ravel matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var17=pandas.read_csv var19.append_0 var5.update 	var17.to_csv 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv var3=pandas.read_csv 	var4.head 
import_io import_os import_bson import_matplotlib.pyplot var1=pandas.read_csv 	var1.head 
import_theano var47=numpy.sqrt 	matplotlib.pyplot.subplot matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.gray matplotlib.pyplot.subplot matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show 
