Masked	Next masked
var19.head 	var19.to_csv 
var25.head 	var25.to_csv 
matplotlib.pyplot.imshow 	var23=numpy.asarray var24=numpy.asarray var27=numpy.ones var28=numpy.zeros var32=var9.predict var33=var8.train_on_batch var34=var8.train_on_batch var32=var9.predict var36=var13.train_on_batch var16.append_0 var17.append_1 var25.append_2 
var12=var12.reset_index 	var12.head 
var47=matplotlib.pyplot.imshow 	shape 
shape 	var49.prepare 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.subplot var51=numpy.zeros matplotlib.pyplot.imshow matplotlib.pyplot.axis var53=var50.image_reference var41=var50.load_image 	var55=var54.draw_grid matplotlib.pyplot.figure var47=matplotlib.pyplot.imshow 
var91.append_0 var92.append_1 var93.append_2 var94.append_3 var95.append_4 	var49.set_data var91.append_0 var91.append_1 var92.append_2 var92.append_3 var94.append_4 var94.append_5 var95.append_6 var95.append_7 
var49.set_data var91.append_0 var91.append_1 var92.append_2 var92.append_3 var94.append_4 var94.append_5 var95.append_6 var95.append_7 	var107.to_csv var107.sample 
var93=pandas.DataFrame var93.head 	var94=pandas.read_csv var94=pandas.DataFrame var93=pandas.concat var93.to_csv var93.head 
var4=pandas.DataFrame var4.head 	var4.to_csv 
var13=pandas.DataFrame var13.head 	var16=numpy.zeros var17=numpy.zeros 
var14=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	var16.drop var19.sample 
var0.head 	var17.head 
var17.head 	var18=pandas.merge var19=pandas.merge 
var86=var82.predict 	import_gc 
var7.head 	var8=pandas.merge 
var66=var58.predict 	var67=numpy.stack 
var75.head 	var75.to_csv 
ImageId var12=numpy.unique 	var19=var14.copy matplotlib.pyplot.show 
var19=var14.copy matplotlib.pyplot.show 	import_gc var23.append_0 
var3=numpy.stack 	var3=numpy.stack 
var3=numpy.stack 	index var32=numpy.sum var32=numpy.sum 
var12=numpy.array 	var12=numpy.array 
matplotlib.pyplot.imshow matplotlib.pyplot.show 	var1=numpy.zeros 
matplotlib.pyplot.imshow matplotlib.pyplot.show 	matplotlib.pyplot.imshow matplotlib.pyplot.show 
matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.show 	var61=pandas.read_csv 
var3.head 	seaborn.countplot 
seaborn.countplot 	numpy.shape 
matplotlib.pyplot.bar matplotlib.pyplot.ylabel 	var5=numpy.zeros 
var13=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	var14.append_0 var14.append_1 
seaborn.distplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var16=numpy.array var16=numpy.array 	var17.rename seaborn.distplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
var2.head 	loc var13=var13.tolist 
loc var13=var13.tolist 	matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var17.lr_find 	var17.fit 
var50.freeze_to 	var50.fit 
var50.save 	var53=numpy.array var50.unfreeze var50.bn_freeze 
var50.save 	var56.add_subplot var56.add_subplot var56.add_subplot 
var2.head 	iloc var6=matplotlib.pyplot.figure var7=matplotlib.image.imread var8=var7.copy var10=var6.add_subplot var10.set_title var10.imshow var6.tight_layout 
var13=var11.drop_duplicates 	var14=pandas.DataFrame 
matplotlib.pyplot.figure var17=pandas.DataFrame var10.set_xlabel var10.set_ylabel 	iloc 
NumberOfDuplicates 	var25=numpy.zeros var25=var25.ravel 
var25=numpy.zeros var25=var25.ravel 	var26=var20.split 
var29=numpy.dstack var6=matplotlib.pyplot.figure var10=var6.add_subplot var10.imshow 	var6=matplotlib.pyplot.figure var10=var6.add_subplot var10.set_title var10.imshow var30=matplotlib.image.imread var10=var6.add_subplot var10.set_title var10.imshow var6.tight_layout 
var6=matplotlib.pyplot.figure var10=var6.add_subplot var10.set_title var10.imshow var30=matplotlib.image.imread var10=var6.add_subplot var10.set_title var10.imshow var6.tight_layout 	var10.imshow 
var10.imshow 	var31=numpy.ascontiguousarray 
matplotlib.pyplot.imshow 	matplotlib.pyplot.imshow 
matplotlib.pyplot.imshow 	matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.show matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.show matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.show 
var8=numpy.zeros matplotlib.pyplot.imshow 	var8=numpy.zeros matplotlib.pyplot.imshow 
var8=numpy.zeros matplotlib.pyplot.imshow 	matplotlib.pyplot.imshow 
import_seaborn seaborn.set_style seaborn.set_context matplotlib.pyplot.figure matplotlib.pyplot.title var25=seaborn.countplot matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.show var25.annotate 	var28=numpy.concatenate var32=numpy.zeros 
matplotlib.pyplot.show 	matplotlib.pyplot.show 
var6=var5.next matplotlib.pyplot.figure 	var10=pandas.read_csv var10.head 
var9=var9.drop 	var12=var9.sample var13=var9.drop 
var24=numpy.zeros var25=numpy.zeros var5=var5.reset_index var5=var5.set_index matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title var31=numpy.zeros var31=numpy.expand_dims 	var5=var5.reset_index 
seaborn.set_style seaborn.set_context seaborn.distplot matplotlib.pyplot.title 	var5.head 
var5.head 	var24=numpy.zeros var25=numpy.zeros var5=var5.reset_index var5=var5.set_index matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title var31=numpy.zeros 
var37=numpy.ravel var24=numpy.zeros var25=numpy.zeros var5=var5.reset_index var5=var5.set_index matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title var31=numpy.zeros var31=numpy.expand_dims 	var37=numpy.ravel var24=numpy.zeros var25=numpy.zeros var5=var5.reset_index var5=var5.set_index matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title var31=numpy.zeros var31=numpy.expand_dims 
matplotlib.pyplot.figure matplotlib.pyplot.subplots_adjust matplotlib.pyplot.show var0=var0.reset_index var0=var0.set_index var4=keras.preprocessing.load_img var17=keras.preprocessing.img_to_array var17=numpy.expand_dims var19=numpy.reshape var20=numpy.max var19=numpy.reshape var21=numpy.max var19=numpy.reshape var22=numpy.max matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title var23=numpy.zeros var23=numpy.expand_dims 	var4=numpy.expand_dims var4=numpy.copy 
var7=pandas.DataFrame var7.head var4.append_0 var6.append_1 	var12=pandas.DataFrame var12.head var10.append_0 var11.append_1 
var12=pandas.DataFrame var12.head var10.append_0 var11.append_1 	var15=pandas.read_csv var15.head 
import_traceback import_sys var24=numpy.zeros var25=numpy.zeros var5=var5.reset_index var5=var5.set_index var31=numpy.zeros matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.title var31=numpy.expand_dims 	var5=var5.reset_index seaborn.set_style seaborn.set_context seaborn.distplot matplotlib.pyplot.title 
var5=var5.reset_index seaborn.set_style seaborn.set_context seaborn.distplot matplotlib.pyplot.title 	ImageId 
ImageId 	ImageId 
matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.show 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.title matplotlib.pyplot.axis 
matplotlib.pyplot.hist matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var9.head 
var9.head 	matplotlib.pyplot.hist matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.show 
matplotlib.pyplot.hist matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.show 	var2=cv2.imread var2=cv2.cvtColor var14.set_title var14.axis var14.imshow var14.axis var14.imshow 
var2=cv2.imread var2=cv2.cvtColor matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.show 	var2=cv2.imread var2=cv2.cvtColor var14.axis var14.imshow 
matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	import_numpy import_matplotlib.pyplot matplotlib.pyplot.show 
import_numpy import_matplotlib.pyplot matplotlib.pyplot.show 	import_matplotlib.pyplot import_numpy matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
import_matplotlib.pyplot import_numpy matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	import_numpy import_matplotlib.pyplot var25=matplotlib.pyplot.figure var26=matplotlib.pyplot.subplot var27=matplotlib.pyplot.subplot var28=matplotlib.pyplot.subplot var26.imshow var27.imshow var28.imshow matplotlib.pyplot.show var25=matplotlib.pyplot.figure var26=matplotlib.pyplot.subplot var27=matplotlib.pyplot.subplot var28=matplotlib.pyplot.subplot var26.imshow var26.set_axis_off var26.set_title var32=numpy.unravel_index var33=numpy.unravel_index var34=numpy.unravel_index var27.imshow var27.set_axis_off var27.set_title var35=matplotlib.pyplot.Rectangle var27.add_patch var36=matplotlib.pyplot.Rectangle var27.add_patch var37=matplotlib.pyplot.Rectangle var27.add_patch var28.imshow var28.set_axis_off matplotlib.pyplot.show 
var45=var1.sample 	var48=numpy.empty var49.append_0 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.axis matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var10.append_0 
var14=skimage.find_contours var16=skimage.find_contours var18=skimage.find_contours 	matplotlib.pyplot.suptitle matplotlib.pyplot.show matplotlib.pyplot.suptitle matplotlib.pyplot.show matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var3=numpy.stack 	var8=numpy.stack 
var3.head 	var3=var3.sample 
seaborn.countplot 	var3.head 
var3.head 	var9=pandas.read_csv 
var9.head 	var12=numpy.array 
var17.head 	var17.head 
var17.head 	var15.drop var15.head 
var18=pandas.merge var18.head 	var19=pandas.merge var19.head 
var3.describe 	shape shape shape 
matplotlib.pyplot.bar matplotlib.pyplot.ylabel 	var26.rename var26.describe 
var26.rename var26.describe 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var28.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var28.describe 
var28.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var28.describe 	var29.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var29.describe 
var29.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel var29.describe 	var30=var30.reshape 
var30=var30.reshape 	var30=var30.reshape 
iat matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show 	var3=numpy.zeros 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.imshow var14.append_0 	matplotlib.pyplot.figure matplotlib.pyplot.imshow 
var23=var1.sample 	var24=numpy.empty var25=numpy.empty iloc 
var3.drop_duplicates var3.head 	var3.hist 
var3.hist 	var3.to_csv 
shape var26=matplotlib.pyplot.imshow 	var27=matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot var29=var21.detect 
var27=matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot var29=var21.detect 	var29=var21.detect matplotlib.pyplot.savefig matplotlib.pyplot.show 
var15=var14.reshape var16.fit var17=numpy.arange var18=var18.astype 	var22=var22.reshape var20.append_0 
var22=var22.reshape var20.append_0 	var25=pandas.DataFrame var28=var27.predict var25.head 
matplotlib.pyplot.figure matplotlib.pyplot.title matplotlib.pyplot.bar matplotlib.pyplot.show 	var31.axis var31.set_title var31.imshow 
var19=var14.copy matplotlib.pyplot.show 	var26=pandas.DataFrame var26=var26.transpose var26.head 
var26=pandas.DataFrame var26=var26.transpose var26.head 	var26.to_csv 
ImageId var11=numpy.unique 	var17=var14.copy var18=numpy.array var20=numpy.int0 matplotlib.pyplot.show 
var17=var14.copy var18=numpy.array var20=numpy.int0 matplotlib.pyplot.show 	var17=var14.copy var18=numpy.array var20=numpy.int0 var25.append_0 matplotlib.pyplot.show 
var17=var14.copy var18=numpy.array var20=numpy.int0 var25.append_0 matplotlib.pyplot.show 	var26=pandas.DataFrame var26=var26.transpose var26.head 
import_os import_numpy import_pandas import_matplotlib.pyplot import_cv2 import_random import_json import_gc import_torch import_torch.backends.cudnn import_torch.backends.cudnn var4=numpy.concatenate var9=numpy.zeros var10=numpy.zeros var14=numpy.array var15=numpy.array var9=numpy.clip var11=numpy.clip var16=matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.pause matplotlib.pyplot.title 	var17=pandas.read_csv 
var7=matplotlib.pyplot.figure var7.subplots_adjust matplotlib.pyplot.show var7.add_subplot var5=matplotlib.pyplot.imread matplotlib.pyplot.imshow matplotlib.pyplot.axis 	var10=var8.map var12=var8.map var5=matplotlib.pyplot.imread 
seaborn.barplot 	seaborn.distplot 
seaborn.distplot 	var5=numpy.zeros var21=numpy.concatenate 
var7.subplots_adjust matplotlib.pyplot.show var5=matplotlib.pyplot.imread 	var7=matplotlib.pyplot.figure var7.subplots_adjust matplotlib.pyplot.show var7.add_subplot var5=matplotlib.pyplot.imread matplotlib.pyplot.imshow matplotlib.pyplot.axis 
matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.show 	var62=pandas.read_csv 
var3=var2.copy matplotlib.pyplot.figure matplotlib.pyplot.imshow 	var4=numpy.zeros matplotlib.pyplot.subplots matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.show var5=numpy.array 
var1.head 	var2.set_xlabel matplotlib.pyplot.title 
var2.set_xlabel matplotlib.pyplot.title 	var2.set_xlabel matplotlib.pyplot.title 
var2.set_xlabel matplotlib.pyplot.title 	var4.head 
var4.head 	var2.set_ylabel matplotlib.pyplot.title 
var2.set_ylabel matplotlib.pyplot.title 	var2.set_ylabel matplotlib.pyplot.title 
var2.set_ylabel matplotlib.pyplot.title 	matplotlib.pyplot.figure seaborn.heatmap 
var2.set_xlabel var2.set_ylabel 	var2.set_ylabel 
var2.set_ylabel 	var2.set_ylabel 
var2.set_ylabel 	var2.set_ylabel matplotlib.pyplot.text 
var17.drop var17.plot 	var15.head 
matplotlib.pyplot.text 	matplotlib.pyplot.text 
matplotlib.pyplot.text 	var25.corr matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.title 
var25.corr matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.title 	matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.title 
var0.info 	var0=var0.drop 
var0.head 	var1.head 
var1.head 	var2=plotly.graph_objs.Scatter var3=plotly.graph_objs.Scatter var5=plotly.graph_objs.Layout var6=plotly.graph_objs.Figure plotly.offline.iplot 
plotly.offline.iplot var2=plotly.graph_objs.Scatter var6.append_trace var3=plotly.graph_objs.Scatter var6.append_trace 	var16.sort_values 
var2=plotly.graph_objs.Scatter var6.append_trace var3=plotly.graph_objs.Scatter var6.append_trace var10=plotly.graph_objs.Scatter var6.append_trace var11=plotly.graph_objs.Scatter var6.append_trace plotly.offline.iplot 	var19.head 
var19.head 	var2=plotly.graph_objs.Candlestick var4.append_0 var3=plotly.graph_objs.Bar var4.append_1 var10=plotly.graph_objs.Scatter var4.append_2 var11=plotly.graph_objs.Scatter var4.append_3 var12=plotly.graph_objs.Scatter var4.append_4 var6=plotly.graph_objs.Figure plotly.offline.iplot var23.append_5 var23.append_6 var23.append_7 
var0.head 	var0.tail 
var0.tail 	var1.drop 
var1.tail 	seaborn.set seaborn.set_style matplotlib.pyplot.legend 
var1.tail 	var1.dropna var2=var1.drop 
var11=pandas.date_range var12=pandas.DataFrame var1=var1.append_0 var1.tail 	matplotlib.pyplot.legend 
var4.plot 	var4=var4.reset_index 
var0.sample 	var1=pandas.read_csv var1.head 
matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.xticks matplotlib.pyplot.show 	matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot 
matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot 	var9=pandas.rolling_mean var10=pandas.rolling_mean 
matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	var11=pandas.rolling_mean var12=pandas.rolling_mean matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var11=pandas.rolling_mean var12=pandas.rolling_mean matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	var11=pandas.rolling_std var12=pandas.rolling_std matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.subplot matplotlib.pyplot.xticks matplotlib.pyplot.title matplotlib.pyplot.plot matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
matplotlib.pyplot.legend 	var3=var2.transform var4=pandas.DataFrame var4.dropna var5=var4.drop var6.head 
var19.head 	import_xgboost var21=xgboost.XGBRegressor var21.fit 
var34=matplotlib.pyplot.figure var35=matplotlib.pyplot.subplot var36=numpy.arange var37=numpy.arange var35.plot var35.plot var35.plot var35.plot var35.plot var35.plot var35.plot var38=var35.get_position var35.set_position var35.legend matplotlib.pyplot.title matplotlib.pyplot.xticks var34.figimage matplotlib.pyplot.show 	var34=matplotlib.pyplot.figure var35=matplotlib.pyplot.subplot var36=numpy.arange var37=numpy.arange var35.plot var35.plot var35.plot var35.plot var35.plot var35.plot var35.plot var38=var35.get_position var35.set_position var35.legend matplotlib.pyplot.title matplotlib.pyplot.xticks var34.figimage matplotlib.pyplot.show 
var8=pandas.concat var8=var8.dropna var8.head 	var9=var9.dropna var9.head 
var9=var9.dropna var9.head 	var10.fit var10.score 
var0.head 	var1.head var3.append_0 
var1.head 	var1.head 
var1.head 	var2.head 
var2.head 	var3=pandas.pivot_table var3.head 
seaborn.pairplot 	seaborn.heatmap 
var4.head 	var10=pandas.concat 
var10.info 	seaborn.set_style seaborn.countplot 
seaborn.set_style seaborn.countplot 	seaborn.set var11=seaborn.factorplot var11.despine var11.set_ylabels 
var4=matplotlib.pyplot.figure 	matplotlib.pyplot.figure matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend 
import_matplotlib.dates seaborn.tsplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 	import_matplotlib.ticker var2=matplotlib.pyplot.figure var3=matplotlib.pyplot.subplot2grid matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.subplots_adjust matplotlib.pyplot.show var5.append_0 
import_matplotlib.ticker var2=matplotlib.pyplot.figure var3=matplotlib.pyplot.subplot2grid matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.subplots_adjust matplotlib.pyplot.show var5.append_0 	var8=pandas.read_csv var8.head 
import_matplotlib.dates seaborn.tsplot var2.autofmt_xdate matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 	import_matplotlib.dates seaborn.tsplot var2.autofmt_xdate matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 
import_matplotlib.dates seaborn.tsplot var2.autofmt_xdate matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 	var12=pandas.read_excel iloc iloc 
var16=numpy.arange matplotlib.pyplot.show 	matplotlib.pyplot.figure iloc iloc 
matplotlib.pyplot.figure iloc iloc 	var20=pandas.read_csv var20.tail var21=pandas.read_csv var22=pandas.read_csv var23=pandas.read_csv var24=pandas.read_csv var25=pandas.read_csv var26=pandas.read_csv var27=pandas.read_csv var28=pandas.read_csv var29=pandas.read_csv var30=pandas.read_csv 
var4=var3.corr matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.show 	var5.add 
var18.head 	var18.to_csv 
var5.set_ylabel 	var6=numpy.asarray ix var8.fit var9=var8.predict 
var16=pandas.get_dummies var17=pandas.get_dummies 	var14=var16.join var15=var17.join var8.fit var9=var8.predict 
var0.head 	var0.info 
var0.info 	var2=var0.copy var3=pandas.DataFrame var4=var1.copy 
var5.head 	var5.info 
var2.info 	var2.head 
var2.head 	var3.head 
var3.head 	var8.fit 
var10.head 	var10.to_csv 
